Material,Permeability - μ (H/m),Relative permeability (μ/μo),
"Air","1.2566375 ×10-6","1.00000037",
"Al-Si-Fe powder compound (Sendust)","1.76 ×10-5 - 2.01 ×10-4","14 - 160",
"Aluminum","1.256665 ×10-6","1.000022",
"Austenitic stainless steel","1.26 ×10-6 - 8.8 ×10-6","1.003 - 1.05",
"Bismuth","1.25643 ×10-6","0.999834",
"Carbon steel","1.26 ×10-4","100",
"Carbonyl iron powder compound","5.03 ×10-6 - 4.4 ×10-5","4 - 35",
"Cobalt-iron (high permeability strip material)","2.3 ×10-2","18000",
"Concrete (dry)","1.25664 x 10-6","1",
"Copper","1.256629 ×10-6","0.999994",
"Electrical steel","5 ×10-3","4000",
"Ferrite (cobalt nickel zinc)","5.03 ×10-5 - 1.57 ×10-4","40 - 125",
"Ferrite (magnesium manganese zinc)","4.4 ×10-4 - 6.28 ×10-4","350 - 500",
"Ferrite (manganese zinc)","4.4 ×10-4 - 2.51 ×10-2","350 - 20000",
"Ferrite (nickel zinc)","1.26 ×10-5 - 2.89 ×10-3","10 - 2300",
"Ferritic stainless steel (annealed)","1.26 ×10-3 - 2.26 ×10-3","1000 - 1800",
"Hydrogen","1.256637 ×10-6","1",
"Iron (99.8% pure)","6.3 ×10-3","5000",
"Iron (99.95% pure Fe annealed in H)","2.5 ×10-1","200000",
"Iron powder compound","1.76 ×10-5 - 1.26 ×10-4","14 - 100",
"Martensitic stainless steel (annealed)","9.42 ×10-4 - 1.19 ×10-3","750 - 950",
"Martensitic stainless steel (hardened)","5.0 ×10-5 - 1.2 ×10-4","40 - 95",
"Metglas 2714A (annealed)","1.26 ×102","1000000",
"Mo-Fe-Ni powder compound (molypermalloy powder, MPP)","1.76 ×10-5 - 6.91 ×10-4","14 - 550",
"Mu-metal","6.3 ×10-2","50000",
"Mu-metal","2.5 ×10-2","20000",
"Mumetal","1.25 ×10-1","100000",
"NANOPERM","1.0 ×10-1","80000",
"Neodymium magnet","1.32 ×10-6","1.05",
"Nickel","1.26 ×10-4 - 7.54 ×10-4","100",
"Nickel iron powder compound","1.76 ×10-5 - 2.01 ×10-4","14 - 160",
"Palladium","1.25763 ×10-6","1.0008",
"Permalloy","1.25 ×10-1","100000",
"Platinum","1.25697 ×10-6","1.000265",
"Pyrolytic carbon","1.256 ×10-6","0.9996",
"Sapphire","1.256637 ×10-6","0.99999976",
"Silicon iron powder compound","2.39 ×10-5 - 1.13 ×10-4","19 - 90",
"Superconductors","0","0",
"Teflon (PTFE)","1.2567 ×10-6","1.000058",
"Vacuum","1.256637 x 10-6 (μo)","1",
"Water","1.256627 ×10-6","0.999992",
"Wood","1.2566376 ×10-6","1.00000043",
