Name,Type,Melting point,
,Organic,16.65,
,Organic,-112.7,
,Organic,135,
,Inorganic,192.6,
,Inorganic,8.3,
,Organic,122.3,
,Inorganic,170.9,
,Inorganic,-126.8,
,Organic,-5.1,
,Organic,-3,
,Inorganic,196,
,Organic,153,
Formic Acid (HCOOH),Organic,8.3,
,Organic,79.5,
Hydrobromic Acid (HBr),Inorganic,-86.8,
Hydrochloric Acid (HCl),Inorganic,-114.2,
Hydrofluoric Acid (HF),Inorganic,-83.4,
Hydrogen Cyanide (HCN),Inorganic,-13.2,
,Inorganic,-0.43,
,Inorganic,-65.7,
,Inorganic,-85.5,
,Inorganic,-49,
Hypofluorous Acid (HFO),Inorganic,-117,
,Inorganic,307.6,
,Organic,17,
,Organic,-6.9,
,Organic,Decomposes at 135,
,Inorganic,-41.6,
,Organic,14,
,Organic,Decomposes at 189.5,
,Organic,62.5,
,Inorganic,-112,
,Inorganic,42.4,
,Organic,-21,
,Organic,69.3,
,Organic,185,
,Inorganic,10.3,
,Organic,58,
,Organic,-40,
,Organic,-34,
