Name,Melting point,
Methanol (CH4O),-97.5,
Ethanol (C2H6O),-114.1,
Propanol (C3H8O),-126.3,
Butanol (C4H10O),-89.8,
Pentanol (C5H12O),-77.6,
Hexanol (C6H14O),-45,
Heptanol (C7H16O),-34,
Octanol (C8H18O),-15.5,
Nonanol (C9H20O),-5,
Decanol (C10H22O),7,
Undecanol (C11H24O),16,
Dodecanol (C12H26O),24,
Tridecanol (C13H28O),32,
Tetradecanol (C14H30O),38,
Pentadecanol (C15H32O),44,
Hexadecanol (C16H34O),49,
Heptadecanol (C17H36O),53,
Octadecanol (C18H38O),59,
Nonadecanol (C19H40O),61.5,
Eicosanol (C20H42O),64,
Docosanol (C22H46O),71,
Tetracosanol (C24H50O),77,
Hexacosanol (C26H54O),80,
Octacosanol (C28H58O),83.4,
Triacontanol (C30H62O),88,
Tetratriacontanol (C34H70O),92,
