Name,Melting point,
Methane (CH4),-182.5,
Ethane (C2H6),-182.8,
Propane (C3H8),-187.8,
Butane (C4H10),-138.3,
Pentane (C5H12),-129.8,
Hexane (C6H14),-95.4,
Heptane (C7H16),-90.5,
Octane (C8H18),-56.7,
Nonane (C9H20),-51,
Decane (C10H22),-29.7,
Undecane (C11H24),-25.5,
Dodecane (C12H26),-9.6,
Tridecane (C13H28),-5.5,
Tetradecane (C14H30),5.9,
Pentadecane (C15H32),10,
Hexadecane (C16H34),18.2,
Heptadecane (C17H36),22,
Octadecane (C18H38),28,
Nonadecane (C19H40),32,
Eicosane (C20H42),36.5,
Heneicosane (C21H44),40.5,
Docosane (C22H46),43.8,
Tricosane (C23H48),47.4,
Tetracosane (C24H50),50.3,
Pentacosane (C25H52),53.3,
Hexacosane (C26H54),56,
Heptacosane (C27H56),58.8,
Octacosane (C28H58),61.3,
Nonacosane (C29H60),63.7,
Triacontane (C30H62),65.9,
Hentriacontane (C31H64),68,
Dotriacontane (C32H66),69.7,
Tritriacontane (C33H68),71.2,
Tetratriacontane (C34H70),70.1,
Pentatriacontane (C35H72),74.7,
Hexatriacontane (C36H74),75,
Heptatriacontane (C37H76),77.7,
Octatriacontane (C38H78),79,
Nonatriacontane (C39H80),80,
Tetracontane (C40H82),81.5,
Hentetracontane (C41H84),80.8,
Dotetracontane (C42H86),83,
Tritetracontane (C43H88),85.5,
Tetratetracontane (C44H90),86,
Pentatetracontane (C45H92),87,
Hexatetracontane (C46H94),87.9,
Heptatetracontane (C47H96),88,
Octatetracontane (C48H98),88,
Nonatetracontane (C49H100),90,
Pentacontane (C50H102),92,
Henpentacontane (C51H104),92.9,
Dopentacontane (C52H106),93.9,
Tripentacontane (C53H108),94.4,
Tetrapentacontane (C54H110),95,
Pentapentacontane (C55H112),95.4,
Hexapentacontane (C56H114),96,
Heptapentacontane (C57H116),96.6,
Octapentacontane (C58H118),97,
Nonapentacontane (C59H120),98,
Hexacontane (C60H122),99,
Henhexacontane (C61H124),100,
Dohexacontane (C62H126),102,
Trihexacontane (C63H128),102,
Tetrahexacontane (C64H130),102,
Pentahexacontane (C65H132),103,
Hexahexacontane (C66H134),104,
Heptahexacontane (C67H136),104,
Octahexacontane (C68H138),105,
Nonahexacontane (C69H140),105,
Heptacontane (C70H142),106,
