Name,Melting point,
"Ethene (C2H4)","-169.2",
"Propene (C3H6)","-185.3",
"Butene (C4H8)","-185",
"Pentene (C5H10)","-165",
"Hexene (C6H12)","-140",
"Heptene (C7H14)","-119",
"Octene (C8H16)","-102",
"Nonene (C9H18)","-81.3",
"Decene (C10H20)","-66",
"Undecene (C11H22)","-49",
"Dodecene (C12H24)","-35.2",
"Tridecene (C13H26)","-13",
"Tetradecene (C14H28)","-12",
"Pentadecene (C15H30)","-3.7",
"Hexadecene (C16H32)","4",
"Heptadecene (C17H34)","11.3",
"Octadecene (C18H36)","15",
"Nonadecene (C19H38)","23.4",
"Eicosene (C20H40)","28.6",
"Heneicosene (C21H42)","33",
"Docosene (C22H44)","37.8",
"Tricosene (C23H46)","41.6",
"Tetracosene (C24H48)","45",
"Pentacosene (C25H50)","48.7",
"Hexacosene (C26H52)","51.8",
"Heptacosene (C27H54)","54.7",
"Octacosene (C28H56)","57.5",
"Nonacosene (C29H58)","50",
"Triacontene (C30H60)","62",
"Hentriacontene (C31H62)","54.6",
"Dotriacontene (C32H64)","56.7",
"Tritriacontene (C33H66)","58.7",
"Tetratriacontene (C34H68)","70.5",
"Pentatriacontene (C35H70)","72",
"Hexatriacontene (C36H72)","74",
"Heptatriacontene (C37H74)","75.5",
"Octatriacontene (C38H76)","77",
"Nonatriacontene (C39H78)","78.4",
"Tetracontene (C40H80)","79.8",
"Hentetracontene (C41H82)","80.8",
"Dotetracontene (C42H84)","81.8",
"Tritetracontene (C43H86)","82.8",
"Tetratetracontene (C44H88)","83.8",
"Pentatetracontene (C45H90)","84.8",
"Hexatetracontene (C46H92)","85.8",
"Heptatetracontene (C47H94)","86.8",
"Octatetracontene (C48H96)","87.8",
"Nonatetracontene (C49H98)","88.8",
"Pentacontene (C50H100)","89.8",
