Name,Melting point,
Acetylene (C2H2),-80.7,
Propyne (C3H4),-102.7,
1-Butyne (C4H6),-125.7,
1-Pentyne (C5H8),-106,
1-Hexyne (C6H10),-132,
1-Heptyne (C7H12),-80.9,
1-Octyne (C8H14),-79.6,
1-Nonyne (C9H16),-50,
1-Decyne (C10H18),-44,
1-Undecyne (C11H20),-25,
1-Dodecyne (C12H22),-19,
1-Tridecyne (C13H24),-5,
1-Tetradecyne (C14H26),2.5,
1-Pentadecyne (C15H28),10,
1-Hexadecyne (C16H30),15,
1-Heptadecyne (C17H32),22,
1-Octadecyne (C18H34),27,
1-Nonadecyne (C19H36),33,
1-Eicosyne (C20H38),36,
1-Heneicosyne (C21H40),41,
1-Docosyne (C22H42),45,
1-Tricosyne (C23H44),49,
1-Tetracosyne (C24H46),52,
1-Pentacosyne (C25H48),55,
1-Hexacosyne (C26H50),57,
1-Heptacosyne (C27H52),60,
1-Octacosyne (C28H54),62,
1-Nonacosyne (C29H56),65,
1-Triacontyne (C30H58),67,
1-Hentriacontyne (C31H60),69,
1-Dotriacontyne (C32H62),71,
1-Tritriacontyne (C33H64),73,
1-Tetratriacontyne (C34H66),74,
1-Pentatriacontyne (C35H68),76,
1-Hexatriacontyne (C36H70),77,
1-Heptatriacontyne (C37H72),79,
1-Octatriacontyne (C38H74),80,
1-Nonatriacontyne (C39H76),82,
1-Tetracontyne (C40H78),83,
