Name,Type,Melting point,
Aluminum Bromide (AlBr3),Inorganic,97.5,
Ammonia (NH3),Inorganic,-77.7,
Aniline (C6H5NH2),Organic,-6,
Barium Hydroxide (BaH2O2),Inorganic,408,
Barium Oxide (BaO),Inorganic,1973,
Butylamine (C4H11N),Organic,-49,
Cesium Hydroxide (CsOH),Inorganic,342.3,
Copper Hydroxide (CuH2O2),Inorganic,Decomposes at 80,
Diethylamine (C4H11N),Organic,-50,
Dimethyl Sulfoxide (C2H6OS),Organic,18.5,
Ethylamine (C2H5NH2),Organic,-81,
Lithium Hydroxide (LiOH),Inorganic,462,
Lithium Oxide (Li2O),Inorganic,1438,
Magnesium Hydroxide (H2MgO2),Inorganic,Decomposes at 350,
Methylamine (CH3NH2),Organic,-93.4,
Piperidine (C5H11N),Organic,-11,
Potassium Hydroxide (KOH),Inorganic,406,
Propylamine (C3H9N),Organic,-84.8,
Pyridine (C5H5N),Organic,-41.6,
Rubidium Hydroxide (RbOH),Inorganic,385,
Sodium Amide (NaNH2),Inorganic,210,
Sodium Hydride (NaH),Inorganic,638,
Sodium Hydroxide (NaOH),Inorganic,323,
Strontium Hydroxide (H2O2Sr),Inorganic,535,
Strontium Oxide (SrO),Inorganic,2531,
Tetrahydrofuran (C4H8O),Organic,-108.5,
Trimethylamine (C3H9N),Organic,-117,
Trimethylphosphine (C3H9P),Organic,-85,
Zinc Hydroxide (H2O2Zn),Inorganic,Decomposes at 125,
