Name,Melting point,
"Glucose (C6H12O6)","146",
"Fructose (C6H12O6)","103",
"Galactose (C6H12O6)","170",
"Sucrose (table sugar) (C12H22O11)","186 (decomposes)",
"Lactose (milk sugar) (C12H22O11)","212",
"Maltose (C12H22O11)","106",
"Ribose (C5H10O5)","88",
"Deoxyribose (C5H10O4)","91",
"Mannose (C6H12O6)","132 (decomposes)",
"Xylose (C5H10O5)","90",
"Arabinose (C5H10O5)","162",
"Raffinose (C18H32O16)","80",
"Maltotriose (C18H32O16)","134",
"Trehalose (C12H22O11)","203",
"Lactulose (C12H22O11)","169",
"Fucose (C6H12O5)","135",
"Rhamnose (C6H12O5)","82",
"Mannitol (C6H14O6)","168",
"Sorbitol (C6H14O6)","92",
"Xylitol (C5H12O5)","94",
"Ribitol (C5H12O5)","104",
"Galactitol (C6H14O6)","190",
"Lactitol (C12H24O11)","146",
"Cellobiose (C12H22O11)","239",
"Melezitose (C18H32O16)","153",
"Glucosamine (C6H13NO5)","150",
