Alloy,Melting point,C81300 (Beryllium Copper),1066 - 1093,
C81400 (Beryllium Copper),1065 - 1095,
C81500 (Chromium Copper),1075 - 1085,
C82500 (Beryllium Copper),855 - 980,
C83600 (Leaded Red Brass),855 - 1010,
C83800 (Hydraulic Bronze),845 - 1005,
C86500 (High-Strength Yellow Brass),862 - 880,
C87500 (Silicon Brass),820 - 920,
C90500 (Tin Bronze),854 - 1000,
C90700 (Tin bronze),832 - 1000,
C95200 (Aluminum Bronze),1040 - 1045,
C95400 (Aluminum Bronze),1025 - 1040,
C95500 (Aluminum Bronze),1040 - 1055,
C95900 (Aluminum Bronze),1070 - 1120,
C96400 (Copper Nickel),1170 - 1240,
