Name,Melting point,
"Aluminum","660.3",
"Brass","900 - 940",
"Bronze","950 - 1030",
"Carbon Steel","1425 - 1540",
"Cast Iron","1140 - 1200",
"Copper","1084",
"Gold","1064",
"Iron","1538",
"Lead","327.5",
"Magnesium","650",
"Mercury","-38.8",
"Nickel","1455",
"Platinum","1768",
"Silver","961.8",
"Stainless Steel","1400 - 1530",
"Tin","231.9",
"Titanium","1670",
"Tungsten","3414",
"Uranium","1135",
"Zinc","419.5",
"Zirconium","1854",
"Glass (Silica)","1700",
"Ice","0",
"Ethanol","-114",
"Paraffin Wax","40 - 70",
"Polyethylene","100 - 135",
"Polypropylene","135 - 175",
"Polyvinyl chloride (PVC)","100 - 260",
