Trade name,UNS number,Melting point,
�� 435,
AM60A,M10600,≥ 435,
AM60B,M10602,≥ 435,
AS41A,M10410,565 - 620,
AS41B,M10412,570 - 615,
AS41XB,M10412,565 - 620,
AZ10A,M11100,630 - 645,
AZ31B,M11311,605 - 630,
AZ31C,M11312,605 - 630,
AZ60A,M11610,520 - 635,
AZ61A,M11610,≥ 418,
AZ63A,M11630,≥ 360,
AZ80A,M11800,≥ 427,
AZ81A,M11810,≥ 421,
AZ91A,M11910,≥ 421,
AZ91B,M11912,≥ 421,
AZ91C,M11914,≥ 421,
AZ91D,M11916,≥ 421,
AZ91E,M11919,≥ 421,
AZ92A,M11920,≥ 410,
EQ21A,M18330,540 - 640,
EZ33A,M12330,545 - 645,
HK31A,M13310,590 - 650,
HM21A,M13210,605 - 650,
HM31A,M13312,590 - 650,
HZ32A,M13320,550 - 650,
K1A,M18010,650,
M1A,M15100,650,
QE22A,M18220,550 - 645,
QH21A,M18211,535 - 640,
WE43A,M18430,550 - 640,
WE43B,M18432,540 - 640,
WE54A,M18410,550 - 640,
ZC63,M16631,465 - 635,
ZC71,M16710,455 - 635,
ZE41A,M16410,525 - 645,
ZE63A,M16630,510 - 635,
ZH62A,M16620,520 - 630,
ZK21A,M16210,600 - 635,
ZK40A,M16400,530 - 630,
ZK51A,M16510,560 - 640,
ZK60A,M16600,520 - 635,
ZK61A,M16610,520 - 635,
