Trade name,UNS number,Melting point,
"Alloy 20","N08020","1425",
"Alloy 36","K93600","1430",
"Alloy 42","N94100","1435",
"Alloy 46","K94600","1430",
"Alloy 52","N14052","1430",
"Alloy 188","R30188","1300 - 1330",
"Alloy 200","N02200","1435 - 1445",
"Alloy 201","N02201","1435 - 1445",
"Alloy 205","N02205","1435 - 1445",
"Alloy 270","N02270","1450",
"Alloy 400","N04400","1300 - 1350",
"Alloy 405","N04405","1300 - 1350",
"Alloy C263","N07263","1300 - 1335",
"HASTELLOY® B","N10001","1315",
"HASTELLOY® B2","N10665","1330 - 1380",
"HASTELLOY® B3","N10675","1370 - 1418",
"HASTELLOY® C4","N06455","1427",
"HASTELLOY® C22","N06022","1357 - 1399",
"HASTELLOY® C276","N10276","1323 - 1371",
"HASTELLOY® C2000","N06200","1399",
"HASTELLOY® G3","N06985","1260 - 1343",
"HASTELLOY® G30","N06030","1399",
"HASTELLOY® HX","N06920","1260 - 1355",
"HASTELLOY® N","N10003","1300 - 1400",
"HASTELLOY® S","N06635","1335 - 1380",
"HASTELLOY® X","N06002","1260 - 1355",
"HAYNES® 188","R30188","1315 - 1410",
"HAYNES® 214","N07214","1355 - 1400",
"HAYNES® 230","N06230","1301 - 1371",
"HAYNES® 242","N10242","1290 - 1375",
"HAYNES® 263","N07263","1300 - 1355",
"HAYNES® 282","N07208","1300 - 1375",
"HAYNES® 556","R30556","1330 - 1415",
"HAYNES® HR-120","N08120","1300",
"HAYNES® HR-160","N12160","1293 - 1370",
"INCOLOY® 800","N08800","1357 - 1385",
"INCOLOY® 800HT","N08811","1357 - 1385",
"INCOLOY® 825","N08825","1370 - 1400",
"INCOLOY® 902","N09902","1318 - 1393",
"INCOLOY® 903","N19903","1318 - 1393",
"INCOLOY® 907","N19907","1335 - 1400",
"INCOLOY® 909","N19909","1395 - 1430",
"INCOLOY® 925","N09925","1311 - 1366",
"INCONEL® 600","N06600","1354 - 1413",
"INCONEL® 601","N06601","1360 - 1411",
"INCONEL® 601GC","N06601","1301 - 1368",
"INCONEL® 603XL","N06603","1380 - 1400",
"INCONEL® 617","N06617","1332 - 1380",
"INCONEL® 625","N06625","1290 - 1350",
"INCONEL® 625LCF","N06626","1290 - 1350",
"INCONEL® 686","N06686","1338 - 1380",
"INCONEL® 690","N06690","1343 - 1377",
"INCONEL® 693","N06693","1317 - 1367",
"INCONEL® 718","N07718","1260 - 1335",
"INCONEL® 718SPF","NO7718","1260 - 1335",
"INCONEL® 725","N07725","1271 - 1343",
"INCONEL® 740","N07740","1288 - 1362",
"INCONEL® 751","N07751","1390 - 1430",
"INCONEL® 783","R30783","1336 - 1407",
"INCONEL® MA 754","N07754","1400",
"INCONEL® X-750","N07750","1393 - 1427",
"Invar 36","K93601","1430",
"Invar 42","K94100","1435",
"Invar 48","K94800","1450",
"Invar K","K94610","1450",
"MONEL® 400","N04400","1300 - 1350",
"MONEL® 401","N04401","1300 - 1350",
"MONEL® 404","N04404","1300 - 1350",
"MONEL® K-500","N05500","1315 - 1350",
"MONEL® R-405","N04405","1300 - 1350",
"NIMONIC® 75","N06075","1340 - 1380",
"NIMONIC® 80A","N07080","1320 - 1365",
"NIMONIC® 81","N07081","1305 - 1375",
"NIMONIC® 90","N07090","1310 - 1370",
"NIMONIC® 105","N07105","1290 - 1345",
"NIMONIC® 115","N07115","1260 - 1315",
"NIMONIC® 263","N07263","1300 - 1355",
"NIMONIC® 901","N09901","1280 - 1345",
"NiSPAN-C® 902","N09902","1450 - 1480",
"René® 41","N07041","1232 - 1391",
"Udimet® 500","N07500","1360",
