Name,Melting point,
"Carbon dioxide (CO2)","-78 (sublimes)",
"Silicon dioxide (SiO2)","1710",
"Sulfur dioxide (SO2)","-75.5",
"Nitrogen dioxide (NO2)","-11",
"Carbon monoxide (CO)","-205",
"Nitric oxide (NO)","-161",
"Hydrogen peroxide (H2O2)","-0.42",
"Aluminum oxide (Al2O3)","2052",
"Iron(III) oxide (Fe2O3)","1539",
"Iron(II) oxide (FeO)","1377",
"Copper(II) oxide (CuO)","1326",
"Zinc oxide (ZnO)","1974",
"Lead(II) oxide (PbO)","887",
"Magnesium oxide (MgO)","2825",
"Sodium oxide (Na2O)","1275 (sublimes)",
"Potassium oxide (K2O)","740",
"Calcium oxide (CaO)","2613",
"Chromium(III) oxide (Cr2O3)","2435",
"Manganese(IV) oxide (MnO2)","535 (decomposes)",
"Nickel(II) oxide (NiO)","1955",
"Tin(IV) oxide (SnO2)","1630",
"Mercury(II) oxide (HgO)","500 (decomposes)",
"Barium oxide (BaO)","1973",
"Strontium oxide (SrO)","2531",
"Beryllium oxide (BeO)","2578",
"Titanium dioxide (TiO2)","1843",
"Vanadium(V) oxide (V2O5)","681",
"Chromium(VI) oxide (CrO3)","197",
"Manganese(II) oxide (MnO)","1840",
"Cobalt(II) oxide (CoO)","1935",
"Ruthenium(IV) oxide (RuO2)","1200 (sublimes)",
"Rhodium(III) oxide (Rh2O3)","1100 (decomposes)",
"Palladium(II) oxide (PdO)","750 (decomposes)",
"Silver(I) oxide (Ag2O)","≥ 200 (decomposes)",
"Indium(III) oxide (In2O3)","1910",
"Antimony(V) oxide (Sb2O5)","380 (decomposes)",
"Tellurium dioxide (TeO2)","733",
"Iodine pentoxide (I2O5)","300 (decomposes)",
"Ruthenium tetroxide (RuO4)","25.4",
"Osmium tetroxide (OsO4)","41",
"Perchloric acid (HClO4)","-112",
