Name,Melting point,
Ammonium dihydrogen phosphate (H6NO4P),190,
Calcium dihydrogen phosphate (CaH4P2O8),109,
Calcium phosphate (Ca3(PO4)2),1670,
Sodium dihydrogen phosphate (NaH2PO4),200 (decomposes),
Sodium hydrogen phosphate (Na2HPO4),250 (decomposes),
Trisodium phosphate (Na3PO4),1583,
Potassium dihydrogen phosphate (KH2PO4),253,
Potassium hydrogen phosphate (K2HPO4),> 465 (decomposes),
Potassium phosphate (K3PO4),1340,
Iron(III) phosphate (FePO4),250 (decomposes),
Aluminum phosphate (AlPO4),1800,
Magnesium phosphate (Mg3(PO4)2),1184,
Zinc phosphate (Zn3(PO4)2),900,
Lead(II) phosphate (Pb3(PO4)2),1014,
Bismuth(III) phosphate (BiPO4),> 350,
