Metal,Melting point,
"Actinium (Ac)","1050",
"Aluminum (Al)","660",
"Antimony (Sb)","630",
"Barium (Ba)","727",
"Beryllium (Be)","1287",
"Bismuth (Bi)","271",
"Cadmium (Cd)","321",
"Calcium (Ca)","842",
"Cerium (Ce)","799",
"Cesium (Cs)","28.5",
"Chromium (Cr)","1907",
"Cobalt (Co)","1495",
"Copper (Cu)","1085",
"Dysprosium (Dy)","1412",
"Erbium (Er)","1529",
"Europium (Eu)","822",
"Gadolinium (Gd)","1313",
"Gallium (Ga)","29.76",
"Gold (Au)","1064",
"Hafnium (Hf)","2233",
"Holmium (Ho)","1472",
"Indium (In)","156.6",
"Iridium (Ir)","2446",
"Iron (Fe)","1538",
"Lanthanum (La)","920",
"Lead (Pb)","327.5",
"Lithium (Li)","180.5",
"Lutetium (Lu)","1663",
"Magnesium (Mg)","650",
"Manganese (Mn)","1246",
"Mercury (Hg)","-38.83",
"Molybdenum (Mo)","2622",
"Neodymium (Nd)","1016",
"Neptunium (Np)","644",
"Nickel (Ni)","1455",
"Niobium (Nb)","2477",
"Osmium (Os)","3033",
"Palladium (Pd)","1555",
"Platinum (Pt)","1768",
"Plutonium (Pu)","640",
"Polonium (Po)","254",
"Potassium (K)","63.5",
"Praseodymium (Pr)","931",
"Promethium (Pm)","1042",
"Protactinium (Pa)","1572",
"Radium (Ra)","696",
"Rhenium (Re)","3185",
"Rhodium (Rh)","1963",
"Rubidium (Rb)","39.3",
"Ruthenium (Ru)","2333",
"Samarium (Sm)","1072",
"Scandium (Sc)","1541",
"Silver (Ag)","961.8",
"Sodium (Na)","97.8",
"Strontium (Sr)","777",
"Tantalum (Ta)","3017",
"Technetium (Tc)","2157",
"Terbium (Tb)","1359",
"Thallium (Tl)","304",
"Thorium (Th)","1750",
"Thulium (Tm)","1545",
"Tin (Sn)","231.9",
"Titanium (Ti)","1670",
"Tungsten (W)","3414",
"Uranium (U)","1135",
"Vanadium (V)","1910",
"Ytterbium (Yb)","824",
"Yttrium (Y)","1522",
"Zinc (Zn)","419.5",
"Zirconium (Zr)","1854",
