Material,Melting point,
Alumina brick (64-65 wt% Al2O3),1650 - 2030,
Carbon brick (99 wt% graphite),3500,
Chrome brick (100 wt% Cr2O3),1900,
Chrome-magnesite brick (52 wt% MgO, 23 wt% Cr2O3),3045,
Dolomite (fired) (55 wt% CaO, 37 wt% MgO),2000,
Fireclay brick (54 wt% SiO2, 40 wt% Al2O3),1740,
High-alumina brick (90-99 wt% Al2O3),1760 - 2030,
Magnesite brick (95.5 wt% MgO),2150,
Mullite brick (71 wt% Al2O3),1810,
Silica brick (95-99 wt% SiO2),1765,
Silicon carbide brick (80-90 wt% SiC),2305,
Zircon brick (99 wt% ZrSiO4),1700,
Zirconia (stabilized) brick,2650,
