Name,Melting point,
Sodium chloride (NaCl),800,
Potassium chloride (KCl),770,
Calcium chloride (CaCl2),772,
Sodium carbonate (Na2CO3),856,
Sodium sulfate (Na2SO4),884,
Potassium sulfate (K2SO4),1069,
Magnesium sulfate (MgSO4),1124 (decomposes),
Sodium bicarbonate (NaHCO3),50 (decomposes),
Ammonium chloride (NH4Cl),338 (sublimes),
Ammonium sulfate ((NH4)2SO4),280 (decomposes),
Sodium nitrate (NaNO3),308,
Potassium nitrate (KNO3),337,
Aluminum sulfate (Al2(SO4)3),770 (decomposes),
Sodium phosphate (Na3PO4),1583,
Potassium phosphate (K3PO4),1340,
Sodium acetate (C2H3NaO2),324,
Sodium thiosulfate (Na2S2O3),48.5,
Ammonium nitrate (NH4NO3),170,
Sodium citrate (Na3C6H5O7),> 300,
Potassium bromide (KBr),730,
Sodium bromide (NaBr),747,
Sodium metabisulfite (Na2S2O5),> 150 (decomposes),
Sodium bisulfate (NaHSO4),186,
Sodium hexametaphosphate ((NaPO3)6),610,
Sodium hydrogen carbonate (NaHCO3),50 (decomposes),
Potassium chlorate (KClO3),368,
Sodium chlorate (NaClO3),248,
Sodium perchlorate (NaClO4),480 (decomposes),
Potassium permanganate (KMnO4),240 (decomposes),
Sodium chromate (Na2CrO4),794,
Sodium dichromate (Na2Cr2O7),357,
Sodium Borate (Na2B4O7),743,
Sodium nitrite (NaNO2),271,
Sodium hydrosulfide (NaHS),350,
