Name,Melting point,
"Hydrogen Sulfide (H2S)","-85.5",
"Iron(II) Sulfide (FeS)","1194",
"Zinc Sulfide (ZnS)","1850 (sublimes)",
"Lead(II) Sulfide (PbS)","1113",
"Copper(I) Sulfide (Cu2S)","1130",
"Copper(II) Sulfide (CuS)","> 500 (decomposes)",
"Silver Sulfide (Ag2S)","836",
"Mercury(II) Sulfide (HgS)","580 (decomposes)",
"Nickel Sulfide (NiS)","797",
"Cobalt Sulfide (CoS)","1117",
"Molybdenum(IV) Sulfide (MoS2)","2375",
"Manganese(II) Sulfide (MnS)","1610",
"Bismuth(III) Sulfide (Bi2S3)","850",
"Antimony(III) Sulfide (Sb2S3)","550",
"Arsenic(III) Sulfide (As2S3)","310",
"Tin(II) Sulfide (SnS)","880",
"Tin(IV) Sulfide (SnS2)","600 (decomposes)",
"Aluminum Sulfide (Al2S3)","1100",
"Sodium Sulfide (Na2S)","1180",
"Potassium Sulfide (K2S)","840",
"Barium Sulfide (BaS)","2230",
"Strontium Sulfide (SrS)","2000",
"Calcium Sulfide (CaS)","2524",
"Magnesium Sulfide (MgS)","2226",
"Lithium Sulfide (Li2S)","938",
"Rubidium Sulfide (Rb2S)","530",
"Cesium Sulfide (Cs2S)","480",
