Trade name,Composition,Melting point,
Grade 5,Ti-6Al-4V,1649,
Grade 6,Ti-5Al-2.5Sn,1571,
Grade 7,Ti-0.2Pd,1677,
Grade 9,Ti-3Al-2.5V,1700,
Grade 10,Ti-11.5Mo-6Zr-4.5Sn,1573 - 1690,
Grade 11,Ti-0.2Pd,1670,
Grade 12,Ti-0.3Mo-0.8Ni,1660,
Grade 13,Ti-0.5Ni-0.05Ru,1610 - 1660,
Grade 14,Ti-0.5Ni-0.05Ru,1610 - 1660,
Grade 15,Ti-0.5Ni-0.05Ru,1610 - 1660,
Grade 16,Ti-0.06Pd,1677,
Grade 17,Ti-0.06Pd,1670,
Grade 18,Ti-3Al-2.5V-0.06Pd,1700,
Grade 19,Ti-8V-6Cr-4Mo-4Zr-3Al,1555 - 1650,
Grade 21,Ti-15Mo-3Al-2.7Nb-0.25Si,1672 - 1747,
Grade 23,Ti-6Al-4V (ELI),1600 - 1660,
Grade 24,Ti-6Al-4V-0.06Pd,1560 - 1610,
Grade 25,Ti-6Al-4V-0.5Ni-0.06Pd,1560 - 1610,
Grade 26,Ti-0.1Ru,1610 - 1660,
Grade 27,Ti-0.1Ru,1610 - 1660,
Grade 28,Ti-3Al-2.5V-0.5Ru,1590 - 1640,
Grade 29,Ti-6Al-4V-0.1Ru,1674,
Grade 32,Ti-5Al-1Sn-1Zr-1V-0.8Mo,1560 - 1610,
Timetal® 10-2-3,Ti-10V-2Fe-3Al,1650,
Timetal® 1100,Ti-6Al-4Zr-2.7Sn-0.4Mo-0.45Si,1637,
Timetal® 15-3,Ti-15V-3Al-3Sn-3Cr,1668,
Timetal® 21S,Ti-15Mo-3Nb-3Al-0.2Si,1668,
Timetal® 367,Ti-6Al-7Nb,1800 - 1860,
Timetal® 550,Ti-4Al-4Mo-2Sn-0.5Si,1650,
Timetal® 621,Ti-6Al-2Nb-1Ta-0.8Mo,1650,
Timetal® 6-2-4-2,Ti-6Al-2Sn-4Z r-2Mo,1700,
Timetal® 6-2-4-6,Ti-6Al-2Sn-4Zr-6Mo,1595 - 1675,
Timetal® 6-6-2,Ti-6Al-6V-2Sn,1627 - 1649,
Timetal® 8-1-1,Ti-8Al-1Mo-1V,1540,
Timetal® 230,Ti-2.5Cu,1770 - 1900,
Timetal® 53 (ELI),Ti-5Al-2.5Sn (ELI),1590,
