Aluminum alloy,Melting point,
,
1070,640,
1100,640 - 660,
1145,645 - 660,
1199,660,
1200,650 - 660,
1235,645 - 655,
1350,645 - 660,
2007,510 - 640,
2011,540 - 643,
2014,507 - 638,
2017,513 - 641,
2018,507 - 638,
2024,502 - 638,
2025,521 - 641,
2117,554 - 649,
2124,502 - 638,
2195,550 - 660,
2219,543 - 643,
2618,549 - 638,
3003,643 - 655,
3004,630 - 655,
3005,630 - 655,
3103,640 - 660,
3104,630 - 655,
3105,635 - 655,
4032,530 - 570,
4043,570 - 630,
4047,577 - 582,
5005,632 - 655,
5010,630 - 650,
5049,620 - 650,
5050,624 - 652,
5052,607 - 650,
5056,568 - 638,
5059,510 - 650,
5082,560 - 640,
5083,580 - 640,
5086,585 - 640,
5154,593 - 643,
5182,577 - 638,
5251,610 - 650,
5252,607 - 649,
5356,571 - 635,
5454,600 - 650,
5456,568 - 638,
5457,629 - 654,
5657,638 - 657,
5754,600 - 650,
6005,605 - 654,
6010,585 - 649,
6012,570 - 640,
6013,577 - 649,
6016,610 - 660,
6023,580 - 640,
6060,610 - 654,
6061,580 - 650,
6063,615 - 655,
6064,582- 652,
6065,590 - 640,
6066,562 - 646,
6081,610 - 640,
6082,580 - 650,
6101,621 - 654,
6105,599 - 649,
6106,610 - 660,
6111,585 - 650,
6201,607 - 654,
6262,582 - 651,
6351,554 - 649,
6360,630 - 640,
6463,616 - 654,
7003,600 - 650,
7005,607 - 643,
7010,475,
7020,485 - 630,
7021,510 - 630,
7022,480 - 640,
7039,482 - 638,
7049,477 - 635,
7050,488 - 629,
7068,476 - 635,
7072,640 - 657,
7075,477 - 635,
7076,460 - 630,
7079,477 - 635,
7175,477 - 635,
7178,477 - 630,
7475,477 - 635,
8079,640 - 650,
8090,600 - 655,
