Alloy,Melting point,
lectronic),1083,
C10200 (Oxygen-Free Copper),1083,
C10300 (Oxyben-Free Low-Phosphorus Copper),1083,
C10700 (Oxygen-Free with Ag),1083,
C11000 (Electrolytic Tough Pitch),1065 - 1083,
C12200 (High Residual Phosphorus),1083,
C14500 (Tellurium Copper),1051 - 1080,
C14700 (Sulfur-Bearing Copper),1067 - 1076,
C15000 (Zirconium Copper),980 - 1080,
C17200 (Beryllium Copper),865 - 980,
C17300 (Beryllium Copper),865 - 980,
C17500 (Beryllium Copper),1030 - 1070,
C17510 (Beryllium Copper),1030 - 1070,
C18000 (Beryllium Free Copper),1020 - 1040,
C18150 (Chromium Zirconium Copper),1070 - 1080,
C18200 (Chromium Copper),1070 - 1075,
C18700 (Free-Machining Cu),950 - 1080,
C19150 (Leaded Nickel Copper),1040 - 1050,
C19160 (Leaded Nickel Copper),1038 - 1082,
C19210,1082,
C19400,1080 - 1090,
C22000 (Commercial Bronze),1020 - 1045,
C26000 (Cartridge Brass),915 - 955,
C31400 (Leaded Commercial Bronze),1010 - 1040,
C36000 (Free-Cutting Brass),885 - 900,
C44300 (Admiralty Brass),900 - 935,
C61300 (Aluminum Bronze),1040 - 1045,
C61400 (Aluminum Bronze),1040 - 1045,
C62300 (Aluminum Bronze),1040 - 1045,
C62400 (Aluminum Bronze),1025 - 1040,
C63000 (Aluminum Bronze),1035 - 1055,
C63020 (Aluminum Bronze),1020 - 1070,
C63200 (Aluminum Bronze),1040 - 1060,
C64200 (Aluminum Bronze),982 - 1000,
C68700 (Aluminum Brass),930 - 970,
C70250 (Copper Nickel),1075 - 1095,
C70600 (Copper Nickel),1100 - 1150,
C70620 (Copper Nickel),980 - 1030,
C71500 (Copper Nickel),1170 - 1240,
C72900 (Copper Nickel),950 - 1115,
