Name,UNS number,Composition,Melting point, 5),Z35531,Zn-4Al-1Cu-0.05Mg,380 - 386,
AC43A (Zamak 2),Z35541,Zn-4Al-2.5Cu-0.04Mg,379 - 390,
AG40A (Zamak 3),Z33520,Zn-4Al-0.04Mg,381 - 387,
AG40B (Zamak 7),Z33523,Zn-4Al-0.015Mg,381 - 387,
Copper-hardened rolled zinc,Z44330,Zn-1.0Cu,419 - 422,
ILZRO 16,null,Zn-1.25Cu-0.2Ti-0.15Cr,416 - 418,
Rolled zinc,Z21210,Zn-0.08Pb,419,
Rolled zinc,Z21220,Zn-0.06Pb-0.06Cd,419,
Rolled zinc,Z21540,Zn-0.3Pb-0.03Cd,419,
Rolled zinc alloy,Z45330,Zn-1.0Cu-0.01Mg,419 - 422,
Sluch casting alloy A,Z34510,Zn-4.75Al-0.25Cu,380 - 390,
Sluch casting alloy B,Z30500,Zn-5.5Al,380 - 395,
