Wood,Modulus of rupture,k),87,
Ash (blue),95,
Ash (green),97,
Ash (white),103,
Aspen (bigtooth),63,
Aspen (quaking),58,
Balsa,14,
Balsam poplar,47,
Basswood (American),60,
Beech (American),103,
Beech (blue),83,
Birch (paper),85,
Birch (silver),85,
Birch (sweet),117,
Birch (yellow),114,
Black wattle,120,
Boxelder,36,
Bucida (oxhorn),106,
Buckeye (yellow),52,
Butternut,56,
Cedar (eastern red),61,
Cedar (northern white),45,
Cedar (southern white),47,
Cedar (western red),52,
Cherry (black),85,
Cherry (wild red),60,
Chestnut (American),59,
Cottonwood (black),59,
Cottonwood (eastern),59,
Cypress,73,
Dogwood,105,
Douglas fir (coast),85,
Ebony (India),76,
Ebony (Mauritius),54,
Elm (American),81,
Elm (rock),102,
Elm (slippery),90,
Eucalyptus (jarrah),103,
Eucalyptus (karri),119,
Eucalyptus (mahogany),113,
Fir (balsam),63,
Fir (white),68,
Greenheart,66,
Gum (red),82,
Hairi,73,
Hemlock (eastern),61,
Hemlock (mountain),79,
Hemlock (western),78,
Hickory (bigleaf),126,
Hickory (mockernut),132,
Hickory (pignut),139,
Hickory (shagbark),139,
Hornbeam,100,
Ironwood (black),128,
Juniper (alligator),46,
Larch (western),90,
Locust (black),134,
Locust (honey),101,
Magnolia (cucumber tree),85,
Magnolia (sweetbay),70,
Mahogany,79,
Mahogany (Africa),121,
Mahogany (India),69,
Maple (bigleaf),74,
Maple (black),92,
Maple (red),92,
Maple (silver, creek),61,
Maple (sugar),109,
Oak (black),96,
Oak (bur),71,
Oak (canyon live),91,
Oak (chestnut),92,
Oak (laurel),87,
Oak (live),127,
Oak (northern red),99,
Oak (pin),97,
Oak (post),91,
Oak (scarlet),120,
Oak (swamp chestnut),96,
Oak (swamp white),122,
Oak (white),105,
Persimmon (common),125,
Pine (eastern white),59,
Pine (jack),68,
Pine (lobolly),88,
Pine (longleaf),100,
Pine (pitch),74,
Pine (ponderosa),65,
Pine (red),76,
Pine (shortleaf),90,
Pine (western white),67,
Poplar (yellow),70,
Red cedar (Australian),73,
Redwood (young growth),54,
Sassafras,62,
Satinwood (Sri Lanka),95,
Silver fir (Pacific),76,
Sourwood,80,
Spruce (black),74,
Spruce (red),74,
Spruce (white),65,
Sycamore,69,
Tamarack,80,
Tupelo (black),66,
Walnut (black),101,
Willow (black),54,
