Name,Type,Molar mass (g/mol),
97,
,Organic,180.158,
,Inorganic,133.341,
,Inorganic,216.752,
,Organic,122.122,
,Inorganic,61.833,
,Inorganic,67.806,
,Organic,88.106,
,Organic,116.158,
,Inorganic,62.025,
,Inorganic,118.01,
,Organic,192.124,
,Inorganic,84.459,
Formic Acid (HCOOH),Organic,46.026,
,Organic,76.051,
Hydrobromic Acid (HBr),Inorganic,80.912,
Hydrochloric Acid (HCl),Inorganic,36.461,
Hydrofluoric Acid (HF),Inorganic,20.006,
Hydrogen Cyanide (HCN),Inorganic,27.026,
,Inorganic,34.015,
,Inorganic,80.98,
,Inorganic,34.082,
,Inorganic,129.62,
Hydroiodic Acid (HI),Inorganic,127.912,
Hypofluorous Acid (HFO),Inorganic,36.006,
,Inorganic,162.204,
,Organic,90.078,
,Organic,280.446,
,Organic,104.062,
,Inorganic,63.013,
,Inorganic,47.014,
,Organic,282.462,
,Organic,90.035,
,Organic,256.424,
,Organic,76.051,
,Inorganic,143.906,
,Inorganic,100.459,
,Inorganic,191.91,
,Inorganic,97.995,
,Organic,74.079,
,Organic,284.478,
,Organic,118.089,
,Inorganic,98.079,
,Organic,150.087,
,Organic,163.387,
,Organic,150.077,
,Organic,102.132,
