Name,Molar mass (g/mol),
"Methanol (CH4O)","32.04",
"Ethanol (C2H6O)","46.07",
"Propanol (C3H8O)","60.1",
"Butanol (C4H10O)","74.12",
"Pentanol (C5H12O)","88.15",
"Hexanol (C6H14O)","102.18",
"Heptanol (C7H16O)","116.2",
"Octanol (C8H18O)","130.23",
"Nonanol (C9H20O)","144.26",
"Decanol (C10H22O)","158.28",
"Undecanol (C11H24O)","172.31",
"Dodecanol (C12H26O)","186.33",
"Tridecanol (C13H28O)","200.36",
"Tetradecanol (C14H30O)","214.39",
"Pentadecanol (C15H32O)","228.41",
"Hexadecanol (C16H34O)","242.44",
"Heptadecanol (C17H36O)","256.47",
"Octadecanol (C18H38O)","270.49",
"Nonadecanol (C19H40O)","284.52",
"Eicosanol (C20H42O)","298.55",
"Docosanol (C22H46O)","326.6",
"Tetracosanol (C24H50O)","354.65",
"Hexacosanol (C26H54O)","382.71",
"Octacosanol (C28H58O)","410.76",
"Triacontanol (C30H62O)","438.81",
"Hentriacontanol (C31H64O)","452.84",
"Dotriacontanol (C32H66O)","466.87",
"Tetratriacontanol (C34H70O)","494.89",
"Pentatriacontanol (C35H72O)","508.92",
"Hexatriacontanol (C36H74O)","522.95",
"Heptatriacontanol (C37H76O)","536.98",
"Octatriacontanol (C38H78O)","551",
"Tetracontanol (C40H82O)","579.1",
"Hentetracontanol (C41H84O)","593.1",
"Henicosoxyhenicosane (C42H86O)","607.1",
"Tritetracontanol (C43H88O)","621.2",
"Pentatetracontanol (C45H92O)","649.19",
"Hexatetracontanol (C46H94O)","663.22",
"Heptatetracontanol (C47H96O)","677.25",
"Octatetracontanol (C48H98O)","691.28",
"Nonatetracontanol (C49H100O)","705.3",
"Pentacontanol (C50H102O)","719.33",
"Hentapentacontanol (C51H104O)","733.36",
"Dopentacontanol (C52H106O)","747.39",
"Tripentacontanol (C53H108O)","761.41",
"Tetrapentacontanol (C54H110O)","775.44",
"Pentapentacontanol (C55H112O)","789.47",
