Name,Molar mass (g/mol),
"Methane (CH4)","16.04",
"Ethane (C2H6)","30.07",
"Propane (C3H8)","44.1",
"Butane (C4H10)","58.12",
"Pentane (C5H12)","72.15",
"Hexane (C6H14)","86.18",
"Heptane (C7H16)","100.2",
"Octane (C8H18)","114.23",
"Nonane (C9H20)","128.25",
"Decane (C10H22)","142.28",
"Undecane (C11H24)","156.31",
"Dodecane (C12H26)","170.33",
"Tridecane (C13H28)","184.36",
"Tetradecane (C14H30)","198.39",
"Pentadecane (C15H32)","212.41",
"Hexadecane (C16H34)","226.44",
"Heptadecane (C17H36)","240.47",
"Octadecane (C18H38)","254.49",
"Nonadecane (C19H40)","268.52",
"Eicosane (C20H42)","282.55",
"Heneicosane (C21H44)","296.57",
"Docosane (C22H46)","310.6",
"Tricosane (C23H48)","324.63",
"Tetracosane (C24H50)","338.65",
"Pentacosane (C25H52)","352.68",
"Hexacosane (C26H54)","366.71",
"Heptacosane (C27H56)","380.73",
"Octacosane (C28H58)","394.76",
"Nonacosane (C29H60)","408.79",
"Triacontane (C30H62)","422.81",
"Hentriacontane (C31H64)","436.84",
"Dotriacontane (C32H66)","450.87",
"Tritriacontane (C33H68)","464.89",
"Tetratriacontane (C34H70)","478.92",
"Pentatriacontane (C35H72)","492.95",
"Hexatriacontane (C36H74)","506.97",
"Heptatriacontane (C37H76)","521",
"Octatriacontane (C38H78)","535.03",
"Nonatriacontane (C39H80)","549.05",
"Tetracontane (C40H82)","563.08",
"Hentetracontane (C41H84)","577.11",
"Dotetracontane (C42H86)","591.13",
"Tritetracontane (C43H88)","605.16",
"Tetratetracontane (C44H90)","619.19",
"Pentatetracontane (C45H92)","633.21",
"Hexatetracontane (C46H94)","647.24",
"Heptatetracontane (C47H96)","661.27",
"Octatetracontane (C48H98)","675.29",
"Nonatetracontane (C49H100)","689.32",
"Pentacontane (C50H102)","703.34",
"Henpentacontane (C51H104)","717.37",
"Dopentacontane (C52H106)","731.4",
"Tripentacontane (C53H108)","745.42",
"Tetrapentacontane (C54H110)","759.45",
"Pentapentacontane (C55H112)","773.48",
"Hexapentacontane (C56H114)","787.5",
"Heptapentacontane (C57H116)","801.53",
"Octapentacontane (C58H118)","815.56",
"Nonapentacontane (C59H120)","829.58",
"Hexacontane (C60H122)","843.61",
"Henhexacontane (C61H124)","857.64",
"Dohexacontane (C62H126)","871.66",
"Trihexacontane (C63H128)","885.69",
"Tetrahexacontane (C64H130)","899.72",
"Pentahexacontane (C65H132)","913.7",
"Hexahexacontane (C66H134)","927.77",
"Heptahexacontane (C67H136)","941.8",
"Octahexacontane (C68H138)","955.82",
"Nonahexacontane (C69H140)","969.85",
"Heptacontane (C70H142)","983.88",
