Name,Molar mass (g/mol),
Ethene (C2H4),28.05,
Propene (C3H6),42.08,
Butene (C4H8),56.11,
Pentene (C5H10),70.13,
Hexene (C6H12),84.16,
Heptene (C7H14),98.19,
Octene (C8H16),112.21,
Nonene (C9H18),126.24,
Decene (C10H20),140.27,
Undecene (C11H22),154.29,
Dodecene (C12H24),168.32,
Tridecene (C13H26),182.35,
Tetradecene (C14H28),196.37,
Pentadecene (C15H30),210.4,
Hexadecene (C16H32),224.43,
Heptadecene (C17H34),238.45,
Octadecene (C18H36),252.48,
Nonadecene (C19H38),266.51,
Eicosene (C20H40),280.53,
Heneicosene (C21H42),294.56,
Docosene (C22H44),308.58,
Tricosene (C23H46),322.61,
Tetracosene (C24H48),336.64,
Pentacosene (C25H50),350.66,
Hexacosene (C26H52),364.69,
Heptacosene (C27H54),378.72,
Octacosene (C28H56),392.74,
Nonacosene (C29H58),406.77,
Triacontene (C30H60),420.8,
Hentriacontene (C31H62),434.82,
Dotriacontene (C32H64),448.85,
Tritriacontene (C33H66),462.88,
Tetratriacontene (C34H68),476.9,
Pentatriacontene (C35H70),490.93,
Hexatriacontene (C36H72),504.96,
Heptatriacontene (C37H74),518.98,
Octatriacontene (C38H76),533.01,
Nonatriacontene (C39H78),547.04,
Tetracontene (C40H80),561.06,
Hentetracontene (C41H82),575.09,
Dotetracontene (C42H84),589.12,
Tritetracontene (C43H86),603.14,
Tetratetracontene (C44H88),617.17,
Pentatetracontene (C45H90),631.2,
Hexatetracontene (C46H92),645.22,
Heptatetracontene (C47H94),659.25,
Octatetracontene (C48H96),673.28,
Nonatetracontene (C49H98),687.3,
Pentacontene (C50H100),701.33,
