Name,Molar mass (g/mol),
"Acetylene (C2H2)","26.04",
"Propyne (C3H4)","40.06",
"1-Butyne (C4H6)","54.09",
"1-Pentyne (C5H8)","68.12",
"1-Hexyne (C6H10)","82.14",
"1-Heptyne (C7H12)","96.17",
"1-Octyne (C8H14)","110.2",
"1-Nonyne (C9H16)","124.22",
"1-Decyne (C10H18)","138.25",
"1-Undecyne (C11H20)","152.28",
"1-Dodecyne (C12H22)","166.3",
"1-Tridecyne (C13H24)","180.33",
"1-Tetradecyne (C14H26)","194.36",
"1-Pentadecyne (C15H28)","208.38",
"1-Hexadecyne (C16H30)","222.41",
"1-Heptadecyne (C17H32)","236.44",
"1-Octadecyne (C18H34)","250.46",
"1-Nonadecyne (C19H36)","264.49",
"1-Eicosyne (C20H38)","278.52",
"1-Heneicosyne (C21H40)","292.54",
"1-Docosyne (C22H42)","306.57",
"1-Tricosyne (C23H44)","320.6",
"1-Tetracosyne (C24H46)","334.62",
"1-Pentacosyne (C25H48)","348.65",
"1-Hexacosyne (C26H50)","362.68",
"1-Heptacosyne (C27H52)","376.7",
"1-Octacosyne (C28H54)","390.73",
"1-Nonacosyne (C29H56)","404.75",
"1-Triacontyne (C30H58)","418.78",
"1-Hentriacontyne (C31H60)","432.81",
"1-Dotriacontyne (C32H62)","446.8",
"1-Tritriacontyne (C33H64)","460.9",
"1-Tetratriacontyne (C34H66)","474.9",
"1-Pentatriacontyne (C35H68)","488.9",
"1-Hexatriacontyne (C36H70)","502.9",
"1-Heptatriacontyne (C37H72)","516.98",
"1-Octatriacontyne (C38H74)","531",
"1-Nonatriacontyne (C39H76)","545",
"1-Tetracontyne (C40H78)","559",
"1-Hentetracontyne (C41H80)","573.1",
"1-Dotetracontyne (C42H82)","587.1",
"1-Tritetracontyne (C43H84)","601.1",
"1-Tetratetracontyne (C44H86)","615.2",
"1-Pentatetracontyne (C45H88)","629.2",
"1-Hexatetracontyne (C46H90)","643.2",
"1-Heptatetracontyne (C47H92)","657.2",
