Name,Type,Molar mass (g/mol),
,Inorganic,266.694,
,Inorganic,78.004,
,Inorganic,17.031,
,Inorganic,35.046,
,Organic,93.127,
,Inorganic,171.342,
Barium Oxide (BaO),Inorganic,153.326,
,Organic,73.137,
,Inorganic,74.093,
Cesium Hydroxide (CsOH),Inorganic,149.912,
,Inorganic,97.561,
,Organic,73.137,
,Organic,78.133,
,Organic,45.084,
Lithium Hydroxide (LiOH),Inorganic,23.948,
,Inorganic,29.881,
,Inorganic,58.32,
,Organic,31.057,
,Organic,85.148,
Potassium Hydroxide (KOH),Inorganic,56.105,
,Organic,59.11,
,Organic,79.101,
Rubidium Hydroxide (RbOH),Inorganic,102.475,
,Inorganic,39.013,
Sodium Hydride (NaH),Inorganic,23.998,
Sodium Hydroxide (NaOH),Inorganic,39.997,
,Inorganic,121.63,
Strontium Oxide (SrO),Inorganic,103.62,
,Organic,72.106,
,Organic,59.11,
,Organic,76.077,
,Inorganic,99.424,
