Name,Formula,Molar mass (g/mol),
Glucose,C6H12O6,180.16,
Fructose,C6H12O6,180.16,
Galactose,C6H12O6,180.16,
Sucrose (table sugar),C12H22O11,342.3,
Lactose (milk sugar),C12H22O11,342.3,
Maltose,C12H22O11,342.3,
Ribose,C5H10O5,150.13,
Deoxyribose,C5H10O4,134.13,
Mannose,C6H12O6,180.16,
Xylose,C5H10O5,150.13,
Arabinose,C5H10O5,150.13,
Raffinose,C18H32O16,504.44,
Maltotriose,C18H32O16,504.44,
Trehalose,C12H22O11,342.3,
Isomaltose,C12H22O11,342.3,
Lactulose,C12H22O11,342.3,
Fucose,C6H12O5,164.16,
Rhamnose,C6H12O5,164.16,
Mannitol,C6H14O6,182.17,
Sorbitol,C6H14O6,182.17,
Xylitol,C5H12O5,152.15,
Ribitol,C5H12O5,152.15,
Galactitol,C6H14O6,182.17,
Lactitol,C12H24O11,344.31,
Cellobiose,C12H22O11,342.3,
Isomalt,C12H24O11,344.31,
Melezitose,C18H32O16,504.44,
Glucosamine,C6H13NO5,179.17,
Acarbose,C25H43NO18,645.6,
