Name,Molar mass (g/mol),
"Methyl acetate (C3H6O2)","74.08",
"Ethyl acetate (C4H8O2)","88.11",
"Butyl acetate (C6H12O2)","116.16",
"Isopropyl acetate (C5H10O2)","102.13",
"Propyl acetate (C5H10O2)","102.13",
"Ethyl butyrate (C6H12O2)","116.16",
"Methyl propionate (C4H8O2)","88.11",
"Ethyl propionate (C5H10O2)","102.13",
"Isobutyl acetate (C6H12O2)","116.16",
"Butyl butyrate (C8H16O2)","144.21",
"Ethyl formate (C3H6O2)","74.08",
"Butyl formate (C5H10O2)","102.13",
"Methyl butyrate (C5H10O2)","102.13",
"Propyl butyrate (C7H14O2)","130.18",
"Methyl isobutyrate (C5H10O2)","102.13",
"Ethyl isobutyrate (C6H12O2)","116.16",
"Butyl isobutyrate (C8H16O2)","144.21",
"Isopropyl butyrate (C7H14O2)","130.18",
"Isobutyl butyrate (C8H16O2)","144.21",
"Methyl valerate (C6H12O2)","116.16",
"Ethyl valerate (C7H14O2)","130.18",
"Butyl valerate (C9H18O2)","158.24",
"Isopropyl valerate (C8H16O2)","144.21",
"Isobutyl valerate (C9H18O2)","158.24",
"Methyl hexanoate (C7H14O2)","130.18",
"Ethyl hexanoate (C8H16O2)","144.21",
"Butyl hexanoate (C10H20O2)","172.26",
"Isopropyl hexanoate (C9H18O2)","158.24",
"Isobutyl hexanoate (C10H20O2)","172.26",
"Methyl octanoate (C9H18O2)","158.24",
"Ethyl octanoate (C10H20O2)","172.26",
"Butyl octanoate (C12H24O2)","200.32",
"Isopropyl octanoate (C11H22O2)","186.29",
"Isobutyl octanoate (C12H24O2)","200.32",
"Methyl decanoate (C11H22O2)","186.29",
"Ethyl decanoate (C12H24O2)","200.32",
"Butyl decanoate (C14H28O2)","228.37",
"Isopropyl decanoate (C13H26O2)","214.34",
"Isobutyl decanoate (C14H28O2)","228.37",
"Methyl dodecanoate (C13H26O2)","214.34",
"Ethyl dodecanoate (C14H28O2)","228.37",
"Butyl dodecanoate (C16H32O2)","256.42",
"Isopropyl dodecanoate (C15H30O2)","242.4",
"Isobutyl dodecanoate (C14H28O2)","228.37",
"Methyl benzoate (C8H8O2)","136.15",
"Ethyl benzoate (C9H10O2)","150.17",
"Butyl benzoate (C11H14O2)","178.23",
"Isopropyl benzoate (C10H12O2)","164.2",
"Isobutyl benzoate (C11H14O2)","178.23",
"Phenethyl acetate (C10H12O2)","164.2",
