Gas,Molar mass (g/mol),
"Acetylene","26.03788",
"Air","28.96415",
"Ammonia","17.03056",
"Argon","39.94800",
"Arsine","77.94542",
"Boron trichloride","117.1691",
"Boron trifluoride","67.80621",
"Butadiene","54.09164",
"Butane","58.1234",
"Carbon dioxide","44.0098",
"Carbon monoxide","28.0104",
"Carbonyl sulfide","60.0764",
"Chlorine","70.9054",
"Chloroethane","64.5144",
"Chloromethane","50.48752",
"Cyanogen","52.03548",
"Cyclopropane","42.08064",
"Deuterium","2.01410",
"Diborane","27.6696",
"Dichlorosilane","101.0068",
"Dimethylamine","45.08432",
"Dimethyl ether","46.06904",
"Ethane","30.06964",
"Ethylene","28.05376",
"Fluorine","37.996806",
"Helium","4.002602",
"Helium-3","3.016029",
"Helium-4","4.002603",
"Hydrogen","2.01588",
"Hydrogen bromide","80.91194",
"Hydrogen chloride","36.46064",
"Hydrogen cyanide","27.02568",
"Hydrogen fluoride","20.00634",
"Hydrogen iodide","127.9124",
"Hydrogen sulfide","34.08188",
"Isobutane","58.1234",
"Isobutylene","56.10752",
"Krypton","83.798",
"Methane","16.04276",
"Neon","20.1797",
"Nitric oxide","30.00614",
"Nitrogen","28.01348",
"Nitrogen dioxide","46.00554",
"Nitrogen trifluoride","71.00195",
"Nitrous oxide","44.01288",
"Oxygen","31.9988",
"Ozone","47.9982",
"Phosgene","98.9158",
"Phosphine","33.99758",
"Propadiene","40.06476",
"Propane","44.09652",
"Propylene","42.08064",
"Radon","222",
"Silane","32.11726",
"Silicon tetrafluoride","104.0791",
"Sulfur Dioxide","64.0648",
"Sulfur hexafluoride","146.0564",
"Sulfur trioxide","80.0642",
"Xenon","131.293",
