Name,Molar mass (g/mol),
"Hydrogen Fluoride (HF)","20.01",
"Hydrogen Chloride (HCl)","36.46",
"Hydrogen Bromide (HBr)","80.91",
"Hydrogen Iodide (HI)","126.91",
"Sodium Fluoride (NaF)","41.99",
"Sodium Chloride (NaCl)","58.44",
"Sodium Bromide (NaBr)","102.89",
"Sodium Iodide (NaI)","149.89",
"Potassium Fluoride (KF)","58.1",
"Potassium Chloride (KCl)","74.55",
"Potassium Bromide (KBr)","119",
"Potassium Iodide (KI)","166",
"Calcium Fluoride (CaF2)","78.08",
"Calcium Chloride (CaCl2)","110.98",
"Calcium Bromide (CaBr2)","199.89",
"Calcium Iodide (CaI2)","293.89",
"Magnesium Fluoride (MgF2)","62.3",
"Magnesium Chloride (MgCl2)","95.21",
"Magnesium Bromide (MgBr2)","184.11",
"Magnesium Iodide (MgI2)","278.11",
"Aluminum Fluoride (AlF3)","83.98",
"Aluminum Chloride (AlCl3)","133.34",
"Aluminum Bromide (AlBr3)","266.69",
"Aluminum Iodide (AlI3)","407.69",
"Zinc Chloride (ZnCl2)","136.29",
"Zinc Bromide (ZnBr2)","225.19",
"Zinc Iodide (ZnI2)","319.19",
"Silver Fluoride (AgF)","126.87",
"Silver Chloride (AgCl)","143.32",
"Silver Bromide (AgBr)","187.77",
"Silver Iodide (AgI)","234.77",
"Copper(I) Fluoride (CuF)","82.54",
"Copper(I) Chloride (CuCl)","99",
"Copper(I) Bromide (CuBr)","143.45",
"Copper(I) Iodide (CuI)","190.45",
"Copper(II) Fluoride (CuF2)","101.54",
"Copper(II) Chloride (CuCl2)","134.45",
"Copper(II) Bromide (CuBr2)","223.35",
"Copper(II) Iodide (CuI2)","317.35",
"Iron(II) Fluoride (FeF2)","93.84",
"Iron(II) Chloride (FeCl2)","126.75",
"Iron(II) Bromide (FeBr2)","215.65",
"Iron(II) Iodide (FeI2)","309.65",
"Iron(III) Chloride (FeCl3)","162.2",
"Iron(III) Bromide (FeBr3)","295.56",
"Iron(III) Iodide (FeI3)","436.56",
