Name,Formula,Molar mass (g/mol),
��₂(OH)₂,875.45,
Albite,NaAlSi₃O₈,263.02,
Almandine,Fe₃Al₂(SiO₄)₃,497.753,
Anatase,TiO₂,79.879,
Andalusite,Al₂SiO₅,162.04,
Andesine,(Na,Ca)(Si,Al)₄O₈,268.617,
Anhydrite,CaSO₄,136.142,
Apatite,Ca₅(PO₄)₃(OH,F,Cl),504.3,
Apophyllite,KFCA₄Si₈O₂₀·8H₂O,907.2,
Aragonite,CaCO₃,100.087,
Arsenopyrite,FeAsS,162.835,
Augite,(Ca,Na)(Mg,Fe,Al,Ti)(Si,Al)₂O₆,236.35,
Azurite,Cu₃(CO₃)₂(OH)₂,344.67,
Barite,BaSO₄,233.39,
Beryl,Be₃Al₂Si₆O₁₈,537.5,
Biotite,K(Mg,Fe)₃AlSi₃O₁₀(OH,F)₂,433.53,
Borax,Na₂B₄O₇·10H₂O,381.368,
Bornite,Cu₅FeS₄,501.823,
Brucite,Mg(OH)₂,58.32,
Calcite,CaCO₃,100.087,
Carbon (diamond),C,12.011,
Cassiterite,SnO₂,150.709,
Chalcopyrite,CuFeS₂,183.52,
Chromite,FeCr₂O₄,223.83,
Chrysocolla,(Cu,Al)₂H₂Si₂O₅(OH)₄·nH₂O,328.42,
Cinnabar,HgS,232.65,
Cordierite,Mg₂Si₅Al₄O₁₈,584.95,
Corundum,Al₂O₃,101.96,
Covellite,CuS,95.61,
Cuprite,Cu₂O,143.091,
Diaspore,AlO(OH),59.988,
Diopside,CaMg[Si₂O₆],216.55,
Dolomite,CaMg(CO₃)₂,184.4,
Enstatite,Mg₂[Si₂O₆],200.778,
Epidote,Ca₂Fe·(Al,Fe)₂O(OH)(SiO₄)(Si₂O₇),519.3,
Fluorite,CaF₂,78.075,
Galena,PbS,239.27,
Goethite,α-FeO(OH),88.85,
Gypsum,CaSO₄·2H₂O,172.172,
Halite,NaCl,58.44,
Hematite,α-Fe₂O₃,159.69,
Ilmenite,FeTiO₃,151.725,
Jadeite,Na(Al,Fe)Si₂O₆,202.139,
Kaolinite,Al₂Si₂O₅(OH)₄,516.32,
Kyanite,Al₂SiO₅,162.0456,
Lepidolite,K(Li,Al)₃(Si,Al)₄O₁₀(F,OH)₂,386.31,
Magnesite,MgCO₃,84.314,
Magnetite,Fe₃O₄,231.538,
Malachite,Cu₂CO₃(OH)₂,221.116,
Marcasite,FeS₂,119.979,
Molybdenite,MoS₂,160.072,
Muscovite,KAl₂(Si₃Al)O₁₀(OH,F)₂,398.308,
Nepheline,KNa₃Si₄Al₄O₁₆,146.08,
Orthoclase,KAlSi₃O₈,278.33,
Petalite,LiAlSi₄O₁₀,305.15,
Psilomelane,BaMn(II)Mn(IV)₈O₁₆(OH)₄,955.746,
Pyrite,FeS₂,119.979,
Pyrolusite,MnO₂,86.937,
Pyrope,Mg₃Al₂(SiO₄)₃,403.127,
Quartz,SiO₂,60.084,
Rutile,TiO₂,79.879,
Siderite,FeCO₃,115.854,
Smithsonite,ZnCO₃,125.399,
Sodalite,Na₈(Al₆Si₆O₂₄)Cl₂,933.76,
Spessartite,Mn₃Al₂(SiO₄)₃,495.026,
Sphalerite,ZnS,97.456,
Spinel,MgAl₂O₄,142.266,
Stibnite,Sb₂S₃,339.698,
Talc,Mg₃Si₄O₁₀(OH)₂,379.266,
Topaz,Al₂(SiO₄)(F,OH)₂,182.25,
Vanadinite,Pb₅(VO₄)Cl,1186.392,
Wulfenite,PbMoO₄,367.138,
Wurtzite,ZnS,97.456,
Zircon,ZrSiO₄,183.307,
