Name,Formula,Molar mass (g/mol),
"Dihydrogen phosphate","H2O4P–","96.987",
"Hydrogen phosphate","HPO42–","95.979",
"Phosphate","PO43–","94.971",
"Ammonium dihydrogen phosphate","(NH4)H2PO4","115.03",
"Ammonium phosphate","(NH4)3PO4","149.09",
"Calcium dihydrogen phosphate","Ca(H2PO4)2","234.05",
"Calcium hydrogen phosphate","CaHPO4","136.057",
"Calcium phosphate","Ca3(PO4)2","310.177",
"Sodium dihydrogen phosphate","NaH2PO4","119.977",
"Sodium hydrogen phosphate","Na2HPO4","141.959",
"Sodium phosphate","Na3PO4","163.941",
"Potassium dihydrogen phosphate","KH2PO4","136.086",
"Potassium hydrogen phosphate","K2HPO4","174.176",
"Potassium phosphate","K3PO4","212.266",
"Iron(III) phosphate","FePO4","150.82",
"Aluminum phosphate","AlPO4","121.953",
"Magnesium phosphate","Mg3(PO4)2","262.858",
"Zinc phosphate","Zn3(PO4)2","386.11",
"Copper(II) phosphate","Cu3(PO4)2","380.58",
"Lead(II) phosphate","Pb3(PO4)2","811.54",
"Nickel(II) phosphate","Ni3(PO4)2","366.023",
"Manganese(II) phosphate","Mn3(PO4)2","354.757",
"Strontium phosphate","Sr3(PO4)2","452.8",
"Barium phosphate","Ba3(PO4)2","601.9",
"Lanthanum phosphate","LaPO4","233.877",
"Bismuth(III) phosphate","BiPO4","303.952",
