Metal,Molar mass (g/mol),um (Al),26.982,
Antimony (Sb),121.76,
Barium (Ba),137.327,
Beryllium (Be),9.012,
Bismuth (Bi),208.98,
Cadmium (Cd),112.411,
Calcium (Ca),40.078,
Cerium (Ce),140.116,
Cesium (Cs),132.905,
Chromium (Cr),51.996,
Cobalt (Co),58.933,
Copper (Cu),63.546,
Dysprosium (Dy),162.5,
Erbium (Er),167.259,
Europium (Eu),151.964,
Gadolinium (Gd),157.25,
Gallium (Ga),69.723,
Gold (Au),196.967,
Hafnium (Hf),178.49,
Holmium (Ho),164.93,
Indium (In),114.818,
Iridium (Ir),192.217,
Iron (Fe),55.845,
Lanthanum (La),138.905,
Lead (Pb),207.2,
Lithium (Li),6.94,
Lutetium (Lu),174.967,
Magnesium (Mg),24.305,
Manganese (Mn),54.938,
Mercury (Hg),200.59,
Molybdenum (Mo),95.96,
Neodymium (Nd),144.242,
Neptunium (Np),237,
Nickel (Ni),58.693,
Niobium (Nb),92.906,
Osmium (Os),190.23,
Palladium (Pd),106.42,
Platinum (Pt),195.084,
Plutonium (Pu),244,
Polonium (Po),209,
Potassium (K),39.098,
Praseodymium (Pr),140.908,
Promethium (Pm),145,
Protactinium (Pa),231.036,
Radium (Ra),226,
Rhenium (Re),186.207,
Rhodium (Rh),102.906,
Rubidium (Rb),85.468,
Ruthenium (Ru),101.07,
Samarium (Sm),150.36,
Scandium (Sc),44.956,
Silver (Ag),107.868,
Sodium (Na),22.99,
Strontium (Sr),87.62,
Tantalum (Ta),180.948,
Technetium (Tc),98,
Terbium (Tb),158.925,
Thallium (Tl),204.38,
Thorium (Th),232.038,
Thulium (Tm),168.934,
Tin (Sn),118.71,
Titanium (Ti),47.867,
Tungsten (W),183.84,
Uranium (U),238.029,
Vanadium (V),50.942,
Ytterbium (Yb),173.054,
Yttrium (Y),88.906,
Zinc (Zn),65.38,
Zirconium (Zr),91.224,
