Name,Molar mass (g/mol),
Sodium chloride (NaCl),58.44,
Potassium chloride (KCl),74.55,
Calcium chloride (CaCl2),110.98,
Sodium carbonate (Na2CO3),105.99,
Sodium sulfate (Na2SO4),142.04,
Potassium sulfate (K2SO4),174.26,
Magnesium sulfate (MgSO4),120.37,
Sodium bicarbonate (NaHCO3),84.01,
Ammonium chloride (NH4Cl),53.49,
Ammonium sulfate ((NH4)2SO4),132.14,
Sodium nitrate (NaNO3),84.99,
Potassium nitrate (KNO3),101.1,
Aluminum sulfate (Al2(SO4)3),342.15,
Sodium phosphate (Na3PO4),163.94,
Potassium phosphate (K3PO4),212.27,
Sodium acetate (C2H3NaO2),82.03,
Sodium thiosulfate (Na2S2O3),158.11,
Sodium hypochlorite (NaClO),74.44,
Ammonium nitrate (NH4NO3),80.04,
Sodium citrate (Na3C6H5O7),258.07,
Sodium hypophosphite (NaH2PO2),87.98,
Calcium chloride dihydrate (CaCl2H4O2),147.01,
Potassium bromide (KBr),119,
Sodium bromide (NaBr),102.89,
Sodium metabisulfite (Na2S2O5),190.11,
Sodium bisulfite (NaHSO3),104.06,
Sodium bisulfate (NaHSO4),120.06,
Sodium hexametaphosphate ((NaPO3)6),611.77,
Sodium dihydrogen phosphate (NaH2PO4),119.98,
Sodium hydrogen carbonate (NaHCO3),84.01,
Potassium chlorate (KClO3),122.55,
Sodium chlorate (NaClO3),106.44,
Sodium perchlorate (NaClO4),122.44,
Potassium permanganate (KMnO4),158.03,
Sodium chromate (Na2CrO4),161.97,
Sodium dichromate (Na2Cr2O7),261.97,
Sodium Borate (Na2B4O7),201.22,
Sodium sulfate decahydrate (Na2SO4·10H2O),322.2,
Sodium nitrite (NaNO2),68.99,
Sodium hydrosulfide (NaHS),56.06,
