Name,Type,Molar mass (g/mol),
"a-Sn","IV-IV","118.71",
"AgBr","I-VII","187.772",
"Agl","I-VII","234.773",
"Al2S3","III2-VI3","150.161",
"Al2Se3","III2-VI3","290.843",
"AlAs","III-V","101.903",
"AIN","III-V","40.988",
"AIP","III-V","57.955",
"AlSb","III-V","148.742",
"BAS","III-V","85.733",
"BeS","II-VI","41.078",
"BeSe","II-VI","87.972",
"BeTe","II-VI","136.612",
"BN","III-V","24.818",
"BP","III-V","41.785",
"C","IV-IV","12.0107",
"CdO","II-VI","128.41",
"CdS","II-VI","144.477",
"CdSe","II-VI","191.371",
"CdTe","II-VI","240.011",
"CuBr","I-VII","143.45",
"CuCl","I-VII","98.999",
"Cul","I-VII","190.45",
"Ga2Te3","III2-VI3","522.246",
"GaAs","III-V","144.645",
"GaN","III-V","83.73",
"GaP","III-V","100.697",
"GaSb","III-V","191.483",
"Ge","IV-IV","72.612",
"HgS","II-VI","232.656",
"HgSe","II-VI","279.55",
"HgTe","II-VI","328.19",
"ln2Te3","III2-VI3","612.436",
"InAs","III-V","189.74",
"InN","III-V","128.825",
"InP","III-V","145.792",
"InSb","III-V","236.578",
"Mg2Ge","II2-IV","121.22",
"Mg2Si","II2-IV","76.696",
"Mg2Sn","II2-IV","167.32",
"MnTe","II-VI","182.538",
"PbS","II-VI","239.262",
"PbSe","II-VI","286.16",
"PbTe","II-VI","334.8",
"Si","IV-IV","28.0855",
"SiC (β phase)","IV-IV","40.096",
"Te","VI-VI","127.6",
"ZnO","II-VI","81.389",
"ZnO","II-VI","81.389",
"ZnS","II-VI","97.456",
"ZnS","II-VI","97.456",
"ZnSe","II-VI","144.35",
"ZnSnAs2","II-IV-III2","333.943",
"ZnSnP2","II-IV-III2","246.048",
"ZnTe","II-VI","192.99",
