Name,Molar mass (g/mol),
(FeS),87.91,
,207.9,
Zinc Sulfide (ZnS),97.47,
Lead(II) Sulfide (PbS),239.3,
,159.16,
Copper(II) Sulfide (CuS),95.61,
,247.8,
Mercury(II) Sulfide (HgS),232.66,
Nickel Sulfide (NiS),90.76,
Cobalt Sulfide (CoS),91,
Cadmium Sulfide (CdS),144.48,
,160.07,
Manganese(II) Sulfide (MnS),87,
,514.16,
,339.72,
,246.04,
Tin(II) Sulfide (SnS),150.78,
,182.8,
,150.2,
,200.19,
,78.05,
,110.26,
Barium Sulfide (BaS),169.39,
Strontium Sulfide (SrS),119.69,
Calcium Sulfide (CaS),72.14,
Magnesium Sulfide (MgS),56.38,
,45.95,
,203,
,297.88,
