Name,Temperature,Refractive index (n,
,25,1.0007,
,-70,1.3567,
,20,1.3962,
,20,1.3715,
,20,1.3837,
,20,1.3994,
,25,1.4062,
,20,1.4257,
,20,1.4215,
,20,1.42609,
,20,1.43,
,20,1.434,
,20,1.4351,
,25,1.4367,
,20,1.4412,
,25,1.4410,
,20,1.444,
,25,1.4450,
,30,1.4440,
,25,1.4544,
,25,1.4568,
,25,1.4592,
,25,1.4615,
,25,1.4637,
,25,1.4657,
,25,1.4677,
,25,1.4696,
,25,1.4716,
,25,1.4732,
,25,1.4751,
,25,1.4767,
,25,1.4783,
,25,1.4800,
,25,1.4816,
,25,1.4830,
,25,1.4845,
,25,1.4859,
,25,1.4873,
,25,1.4886,
,25,1.4895,
,25,1.4907,
,25,1.4919,
,25,1.4930,
,25,1.4941,
,25,1.4952,
,25,1.4963,
,25,1.4973,
,25,1.4983,
,25,1.4992,
