Name,Temperature,Refractive index (n,
"Alanine (Ala) (C3H7NO2)","20","1.465",
"Arginine (Arg) (C6H14N4O2)","25","1.6700",
"Asparagine (Asn) (C4H8N2O3)","25","1.4880",
"Aspartic Acid (Asp) (C4H7NO4)","25","1.4540",
"Cysteine (Cys) (C3H7NO2S)","25","1.5130",
"Glutamic Acid (Glu) (C5H9NO4)","25","1.4300",
"Glutamine (Gln) (C5H10N2O3)","25","1.4954",
"Glycine (Gly) (C2H5NO2)","25","1.4264",
"Histidine (His) (C6H9N3O2)","25","1.6500",
"Isoleucine (Ile) (C6H13NO2)","20","1.463",
"Leucine (Leu) (C6H13NO2)","20","1.463",
"Lysine (Lys) (C6H14N2O2)","25","1.4650",
"Methionine (Met) (C5H11NO2S)","25","1.5216",
"Phenylalanine (Phe) (C9H11NO2)","25","1.5600",
"Proline (Pro) (C5H9NO2)","25","1.4538",
"Serine (Ser) (C3H7NO3)","25","1.4368",
"Threonine (Thr) (C4H9NO3)","25","1.4183",
"Tryptophan (Trp) (C11H12N2O2)","25","1.5200",
"Tyrosine (Tyr) (C9H11NO3)","25","1.5270",
"Valine (Val) (C5H11NO2)","20","1.465",
