Name,Temperature,Refractive index (n,
"Dimethyl Ether (C2H6O)","25","1.2984",
"Diethyl Ether (C4H10O)","20","1.3526",
"Methoxypropane (C4H10O)","25","1.3544",
"Ethyl Propyl Ether (C5H12O)","25","1.3660",
"Methyl tert-butyl ether (C5H12O)","25","1.3663",
"Tetrahydrofuran (C4H8O)","20","1.405",
"Dioxane (C4H8O2)","20","1.4224",
"Anisole (C7H8O)","20","1.5179",
"Dipropyl ether (C6H14O)","20","1.3807",
"Dibutyl ether (C8H18O)","20","1.3992",
"Dipentyl ether (C10H22O)","20","1.4119",
"Dioctyl ether (C16H34O)","25","1.4305",
"Dicyclohexyl ether (C12H22O)","25","1.4741",
"Methoxyethane (C3H8O)","4","1.3420",
"1,2-Dimethoxyethane (C4H10O2)","25","1.3781",
"Vinyl ether (C4H6O)","20","1.3989",
"Phenetole (C8H10O)","20","1.5076",
"Diphenyl ether (C12H10O)","25","1.5787",
"Tetrahydropyran (C5H10O)","25","1.4200",
"1,3-Dithiane (C4H8S2)","25","1.5981",
