Name,Refractive index (n,
Acrylonitrile butadiene-styrene (ABS),1.49,
Butyl rubber (IIR),1.508,
Cellulose acetate (CA),1.49,
Cellulose acetate butyrate (CAB),1.478,
Cellulose acetate propionate (CAP),1.478,
Cellulose nitrate (CN),1.46 - 1.58,
Ethylene propylene diene rubber (EPDM),1.474,
Ethylene tetrafluoroethylene (ETFE),1.4028,
Nylon 6 (PA6),1.53,
Polyamide-imide (PAI),1.42 - 1.46,
Polycarbonate (PC),1.585,
Polyethersulfone (PESU),1.65,
High-density polyethylene (HDPE),1.53 - 1.54,
Low-density polyethylene (LDPE),1.51 - 1.52,
Medium-density polyethylene (MDPE),1.52 - 1.53,
Polyethylene terephthalate (PET),1.58 - 1.64,
Polyimide (PI),1.42,
Polymethyl methacrylate (PMMA),1.49,
High-impact polystyrene (HIPS),1.59 - 1.60,
Polystyrene (PS),1.59 - 1.60,
Polysulfone (PSU),1.63,
Polytetrafluoroethylene (PTFE),1.38,
Polyvinyl acetate (PVA),1.4669,
Polyvinylidene chloride (PVDC),1.63,
Polyvinylidene fluoride (PVDF),1.42,
Polyvinyl fluoride (PVF),1.46,
Polyvinyl chloride (PVC),1.54,
