Semiconductor,Crystal structure,Type,Refractive index,
gI,Sphalerite,I-VII,2.22,
AlSb,Sphalerite,III-V,3.2,
BeS,Sphalerite,II-VI,4.17,
BeSe,Sphalerite,II-VI,3.61,
BeTe,Sphalerite,II-VI,1.45,
C,Diamond,IV-IV,2.419,
CdS,Sphalerite,II-VI,2.32,
CdS,Wurtzite,II-VI,2.32,
CdTe,Sphalerite,II-VI,2.5,
CuBr,Sphalerite,I-VII,2.12,
CuCl,Sphalerite,I-VII,1.93,
Cul,Sphalerite,I-VII,2.346,
GaAs,Sphalerite,III-V,3.3,
GaP,Sphalerite,III-V,3.2,
GaSb,Sphalerite,III-V,3.8,
Ge,Diamond,IV-IV,3.99,
HgS,Sphalerite,II-VI,2.85,
InAs,Sphalerite,III-V,3.5,
InP,Sphalerite,III-V,3.1,
InSb,Sphalerite,III-V,3.96,
