Material,Relative permittivity (εr),
 - 11.5,
Bakelite,3.5 - 5.5,
Barium strontium titanate (BST),200 - 500,
Barium titanate,120 - 160,
Benzene,2.3,
Calcium,3,
Carbon tetrachloride,2.24,
Diamond,5.5 - 10,
Ethanol,24.3,
Gallium arsenide,12 - 13.5,
Gasoline,2.25,
Germanium,16,
Glass,4 - 10,
Glycerin,42.5,
Granite,7 - 9,
Graphite,10 - 15,
Ice (at 0°C),3.15,
Lead lanthanum titanate,1200 - 1700,
Lead magnesium niobate (PMN),3000 - 8000,
Lead zirconate titanate (PZT),1000 - 2000,
Lithium niobate,40 - 85,
Lithium tantalate,46 - 52,
Marble,8,
Mercury,1.05,
Methanol,30,
Mica,2.5 - 7.5,
Nylon,3 - 5,
Olive oil,3,
Paper,2.3 - 3.5,
Paraffin wax,2 - 2.5,
Petroleum ether,1.8,
Polyester,3.2 - 3.8,
Polyethylene,2.25 - 2.6,
Polyimide,3 - 3.5,
Polypropylene,1.8 - 2.4,
Polystyrene,2.4 - 3,
Porcelain,4.5 - 7,
Potassium chloride,4.9,
Polyvinyl Chloride (PVC),3 - 4,
Pyrex,4 - 5,
Rubber,2.25 - 3,
Sapphire,9 - 11.5,
Silicon,11.5 - 12.5,
Silicon carbide,9 - 10,
Silicon dioxide (Quartz),3.8 - 4.5,
Silicon nitride,7-9.5,
Sodium chloride,5.5,
Strontium titanate,300 - 400,
Styrofoam,1.05,
Sulfur,3.5,
Teflon (PTFE),2 - 2.3,
Transformer oil,2.2 - 2.5,
Vacuum,1,
Water,78.3,
Zinc oxide,8.1 - 9.3,
