Material,Class,Relative permittivity (εr),
"Air (dry)","Gas","1",
"Alumina (90 wt% Al2O3)","Ceramic","8.8",
"Alumina (96 wt% Al2O3)","Ceramic","9",
"Alumina (99.5 wt% Al2O3)","Ceramic","7.45 - 9.7",
"Alumina (99.9 wt% Al2O3)","Ceramic","9.7",
"Alumina (99.99 wt% Al2O3)","Ceramic","10.1",
"Alumina porcelain","Ceramic","8 - 9",
"Asbestos wool","Mineral","3.0 - 4.8",
"Askarel (pyralene, pyranol)","Liquid","4 - 4.5",
"Bakelite (phenol formaldehyde resin)","Polymer","4.5 - 5.5",
"Barite (BaSO4)","Mineral","11.4",
"Barium zirconate (BaZrO3)","Ceramic","43",
"Beryllia (99.5 wt% BeO)","Ceramic","6.8",
"Boron nitride (BN)","Ceramic","4.15",
"Calcium oxide (CaO, calcia)","Ceramic","11.8",
"Calomel (Hg2Cl2)","Mineral","14",
"Celestine (SrSO4)","Mineral","11.5",
"Cellulose acetate","Thermoplastic","3.2",
"Cellulose triacetate","Thermoplastic","3.3",
"Cinnabar (HgS)","Mineral","20",
"Cordierite (Mg2Al4Si5O18)","Mineral","5",
"Corning® 0010","Glass","6.32",
"Corning® 0080","Glass","6.75",
"Corning® 0120","Glass","6.65",
"Cuprite (Cu2O)","Mineral","7.6",
"Ebonite","Polymer","4.5 - 5.5",
"Fluorite (CaF2)","Mineral","6.81",
"Fluoroelastomer","Elastomer","2.3",
"Forsterite (Mg2SiO4)","Mineral","6.2",
"Hard rubber","Elastomer","2.95 - 4.80",
"Hematite (Fe2O3)","Mineral","12",
"Hexagonal boron nitride (96 wt% BN)","Ceramic","4.2",
"Lead zirconate (PbZrO3)","Ceramic","200",
"Macor®","Glass","5.92 - 6.03",
"Magnetite (Fe3O4)","Mineral","20",
"Marble (CaCO3)","Rock","7 - 9",
"Mica, muscovite type (KAl2(Si3Al)O10(OH,F)2)","Mineral","5 - 8",
"Mica, phlogopite type (KMg3AlSi3O10(F,OH)2)","Mineral","6.5 - 8.7",
"Mineral oil (transformers)","Liquid","2.2",
"Mullite (Al6Si2O13)","Ceramic","6.5",
"Niobium pentoxide (Nb2O5)","Ceramic","67",
"Ozocerite (natural paraffins)","Mineraloid","2 - 3",
"Paper (kraft, dry)","Paper","4 - 6",
"Periclase (MgO)","Mineral","9.65",
"Polyamide","Thermoplastic","3.7",
"Polyester","Thermoplastic","3.0",
"Polyethylene","Thermoplastic","2.2",
"Polyimide","Thermoplastic","3.4",
"Polypropylene","Thermoplastic","2.1",
"Polytetrafluoroethylene","Thermoplastic","2.1",
"Polytrifluorochloroethylene","Thermoplastic","2.5",
"Polyurethane","Thermoset","7.1",
"Polyvinyl chloride","Thermoplastic","4.0",
"Polyvinyl fluoride","Thermoplastic","7.4",
"Polyvinylidene chloride","Thermoplastic","5",
"Polyvinylidene fluoride","Thermoplastic","6.43",
"Pyrex® 1710","Glass","6",
"Pyrex® 3320","Glass","4.71",
"Pyrex® 7040","Glass","4.65",
"Pyrex® 7050","Glass","4.77",
"Pyroceram","Ceramic","5.58",
"Pyrolussite (MnO2)","Mineral","12.8",
"Rutile (TiO2)","Mineral","85 - 170",
"Silicon dioxide (SiO2)","Ceramic","3.79 - 4.50",
"Silicon nitride (Si3N4)","Ceramic","7.9 - 8.1",
"Slate","Rock","6.0 - 7.5",
"Soda lime glass","Glass","7.2",
"Soapstone","Mineral","6",
"Spinel (MgAl2O4)","Mineral","8.6",
"Steatite (talc)","Ceramic","5.5 - 7.5",
"Strontianite (SrCO3)","Mineral","8.85",
"Strontium oxide (SrO)","Ceramic","13.3",
"Strontium titanate (SrTiO3)","Ceramic","2080",
"Sulfur (sublimed)","Mineral","3.69",
"Sulfur hexafluoride (SF6)","Gas","1",
"Tantalum pentoxide (Ta2O5)","Ceramic","27.6",
"Thorium dioxide (ThO2)","Ceramic","18.9",
"Uranium dioxide (UO2)","Ceramic","24",
"Vycor® (96 wt% SiO2, 3 wt% B2O3)","Glass","6",
"Witherite (BaCO3)","Mineral","8.53",
"Yttrium oxide (Y2O3)","Ceramic","10",
"Zinc oxide (ZnO)","Ceramic","8.15",
"Zirconium oxide (ZrO2)","Ceramic","12.5 - 24.7",
