Material,Shear modulus,
"Acetal","1.6",
"Acrylic","1.7",
"Aluminum","25",
"Bakelite","3.5",
"Brass","40",
"Bronze","44",
"Carbon Steel","79.5",
"Cast Iron","41",
"Chromium","115",
"Cobalt","80",
"Concrete","21",
"Copper","45",
"Glass (Borosilicate)","32.5",
"Glass (Float)","30",
"Glass (Pyrex)","26.5",
"Gold","27",
"Granite","44",
"Inconel","77",
"Invar","55",
"Lead","5.6",
"Magnesium","17",
"Marble","25",
"Molybdenum","120",
"Monel","65",
"Nickel","76",
"Niobium","38",
"Nylon","4",
"Platinum","64",
"Rubber","0.0006",
"Silver","27",
"Stainless steel","75",
"Steel","79",
"Tantalum","70",
"Titanium","45",
"Tungsten","161",
"Vanadium","46",
"Zinc","40",
"Zirconium","35",
