Trade name,UNS number,Composition,Shear modulus,
"Grade 1","R50250","","45",
"Grade 2","R50400","","45",
"Grade 3","R50550","","45",
"Grade 4","R50700","","40",
"Grade 5","R56400","Ti-6Al-4V","44",
"Grade 6","R54520","Ti-5Al-2.5Sn","48",
"Grade 7","R52400","Ti-0.2Pd","45",
"Grade 9","R56320","Ti-3Al-2.5V","44",
"Grade 10","R58030","Ti-11.5Mo-6Zr-4.5Sn","41",
"Grade 11","R52250","Ti-0.2Pd","45",
"Grade 12","R53400","Ti-0.3Mo-0.8Ni","45",
"Grade 19","R58153","Ti-8V-6Cr-4Mo-4Zr-3Al","40",
"Grade 23","R56401","Ti-6Al-4V (ELI)","44",
"Grade 30","R53530","","41",
"Grade 31","R53532","","41",
"Grade 32","R55111","Ti-5Al-1Sn-1Zr-1V-0.8Mo","40",
"Grade 33","R53442","","41",
"Grade 34","R53445","","41",
"Grade 35","R56340","","41",
"Grade 37","R52815","","40",
"Grade 38","R54250","","40",
