Name,Specific heat capacity,
Andesite,330 - 2450,
Anthracite,1260,
Basalt,627 - 950,
Chalk,921,
Clay (soft shale),837,
Coal,1089 - 1548,
Diabase,698 - 753,
Diorite,669 - 808,
Dolomite,728 - 921,
Gabbro,719 - 782,
Gneiss,736 - 816,
Granite,775 - 837,
Gypsum,1025 - 1088,
Lignite,888 - 920,
Limestone (hard),907 - 921,
Limestone (soft),630 - 907,
Marble,794 - 879,
Quartzite,698 - 1105,
Rock salt,849 - 900,
Sandstone (hard),928 - 963,
Sandstone (medium),745,
Sandstone (soft),728,
Schist,774,
Slate,711,
Syenite,753,
