Name,Specific heat capacity,
"Basalt","627",
"Concrete (1-4 dry)","657",
"Concrete (cinder)","657",
"Concrete (lightweight)","657",
"Concrete (stone; 1-2-4 mix)","880",
"Diabase","698 - 753",
"Dolomite","728 - 921",
"Gneiss","736 - 816",
"Granite","775 - 837",
"Limestone (hard)","907 - 921",
"Limestone (soft)","630 - 907",
"Marble","794 - 879",
"Plaster (molded, dry)","1088",
"Quartzite","698 - 1105",
"Sand (dry)","753 - 799",
"Sandstone (hard)","928 - 963",
"Sandstone (medium)","745",
"Sandstone (soft)","728",
"Schist","774",
"Slate","711",
