Liquid,Specific heat capacity,,
Acrylonitrile,2090,
Benzene,1700,
Bromine,4737,
1-Butanol,2390,
2-Butanol,2884,
Chlorobenzene,1338,
Chloroform,979,
Cyclohexane,1850,
Decane,2210,
Ethanol,2570,
Ethanolamine,2082,
Ethyl acetate,1904,
Ethylbenzene,1748,
Ethylene glycol,2433,
Glycerol,2350,
Heptane,2245,
Hexane,2268,
Hydrazine,3085,
Isopropyl alcohol,2995,
Mercury,139,
Methanol,2542,
Methyl acetate,1942,
Nitric acid,1744,
Nitrobenzene,1509,
Octane,2220,
1-Octanol,2346,
2-Octanol,2534,
Pentane,2317,
1-Pentanol,2370,
Phosphoric acid,745,
Propanoic acid,2340,
Propyl alcohol,2394,
Propylene glycol,2533,
Propylene oxide,2072,
Styrene,1747,
Sulfuric acid,1340,
Tetrahydrofuran,1718,
Toluene,1595,
m-Xylene,1728,
o-Xylene,1771,
p-Xylene,1771,
Water,4184,
