Trade name,UNS number,Specific heat capacity,
Alloy 200,N02200,456,
Alloy 201,N02201,456,
Alloy 205,N02205,456,
Alloy 270,N02270,460,
HASTELLOY® B2,N10665,389,
HASTELLOY® B3,N10675,373,
HASTELLOY® C4,N06455,406,
HASTELLOY® C22,N06022,414,
HASTELLOY® C276,N10276,427,
HASTELLOY® G3,N06985,452,
HASTELLOY® HX,N06920,461,
HASTELLOY® N,N10003,419,
HASTELLOY® S,N06635,398,
HASTELLOY® X,N06002,486,
HAYNES® 214,N07214,452,
HAYNES® 230,N06230,397,
HAYNES® 242,N10242,386,
HAYNES® 282,N07208,436,
HAYNES® 556,R30556,464,
HAYNES® HR-120,N08120,467,
HAYNES® HR-160,N12160,462,
INCOLOY® 800,N08800,460,
INCOLOY® 800HT,N08811,460,
INCOLOY® 825,N08825,440,
INCOLOY® 902,N09902,502,
INCOLOY® 903,N19903,435,
INCOLOY® 907,N19907,431,
INCOLOY® 909,N19909,427,
INCOLOY® 925,N09925,435,
INCONEL® 600,N06600,444,
INCONEL® 601,N06601,448,
INCONEL® 601GC,N06601,448,
INCONEL® 603XL,N06603,439,
INCONEL® 617,N06617,419,
INCONEL® 625,N06625,410,
INCONEL® 625LCF,N06626,410,
INCONEL® 686,N06686,373,
INCONEL® 690,N06690,450,
INCONEL® 693,N06693,455,
INCONEL® 718,N07718,435,
INCONEL® 718SPF,NO7718,435,
INCONEL® 725,N07725,430,
INCONEL® 740,N07740,449,
INCONEL® 783,R30783,455,
INCONEL® MA754,N07754,440,
INCONEL® MA758,,450,
INCONEL® X-750,N07750,425,
Invar® 36,K93601,515,
Invar® 42,K94100,515,
Invar® 48,K94800,520,
MONEL® 400,N04400,427,
MONEL® 404,N04404,414,
MONEL® K-500,N05500,419,
MONEL® R-405,N04405,427,
NIMONIC® 75,N06075,461,
NIMONIC® 80A,N07080,448,
NIMONIC® 81,N07081,461,
NIMONIC® 90,N07090,446,
NIMONIC® 91,,447,
NIMONIC® 105,N07105,419,
NIMONIC® 115,N07115,444,
NIMONIC® 263,N07263,461,
NIMONIC® 901,N09901,431,
NIMONIC® PE11,,436,
NIMONIC® PE16,,544,
NIMONIC® PK33,,419,
NiSPAN-C® 902,N09902,500,
René® 41,N07041,452,
