Semiconductor,Crystal structure,Type,Specific heat capacity,
"a-Sn","Diamond","IV-IV","213",
"AgBr","Sphalerite","I-VII","270",
"AgI","Sphalerite","I-VII","232",
"BN","Sphalerite","III-V","793",
"C","Diamond","IV-IV","471.5",
"CdS","Sphalerite","II-VI","330",
"CdSe","Sphalerite","II-VI","255",
"CdTe","Sphalerite","II-VI","205",
"CuBr","Sphalerite","I-VII","381",
"CuCl","Sphalerite","I-VII","490",
"Cul","Sphalerite","I-VII","276",
"GaSb","Sphalerite","III-V","320",
"Ge","Diamond","IV-IV","322",
"HgS","Sphalerite","II-VI","210",
"HgSe","Sphalerite","II-VI","178",
"HgTe","Sphalerite","II-VI","164",
"InAs","Sphalerite","III-V","268",
"InSb","Sphalerite","III-V","144",
"Si","Diamond","IV-IV","702",
"Te","y-Se","VI-VI","201",
"ZnO","Sphalerite","II-VI","494",
"ZnS","Sphalerite","II-VI","472",
"ZnSe","Sphalerite","II-VI","339",
"ZnTe","Sphalerite","II-VI","264",
