Trade name,UNS number,Composition,Specific heat capacity,
"Grade 1","R50250","","520",
"Grade 2","R50400","","523",
"Grade 3","R50550","","523",
"Grade 4","R50700","","530",
"Grade 5","R56400","Ti-6Al-4V","526",
"Grade 6","R54520","Ti-5Al-2.5Sn","530",
"Grade 7","R52400","Ti-0.2Pd","523",
"Grade 9","R56320","Ti-3Al-2.5V","525",
"Grade 10","R58030","Ti-11.5Mo-6Zr-4.5Sn","525",
"Grade 11","R52250","Ti-0.2Pd","523",
"Grade 12","R53400","Ti-0.3Mo-0.8Ni","555",
"Grade 23","R56401","Ti-6Al-4V (ELI)","526",
"Grade 36","R58450","Ti-45Nb","427",
"Timetal® 21S","R58210","Ti-15Mo-3Nb-3Al-0.2Si","490",
"Timetal® 6-2-4-2","R54620","Ti-6Al-2Sn-4Z r-2Mo","420",
"Timetal® 6-6-2","R56620","Ti-6Al-6V-2Sn","650",
