Aluminum alloy,Yield strength,Ultimate strength,
100.1,30,80,
201.0-T4,215,365,
201.0-T6,435,485,
201.0-T7,415,460,
204.0,200,225,
206.0-T7,345,435,
295.0-T4,110,220,
295.0-T6,165,250,
296.0-T4,130,255,
296.0-T6,180,275,
296.0-T7,140,270,
308.0-F,110,195,
359.0-T61,255,330,
359.0-T62,290,345,
360.0-F,170,325,
380.0-F,165,330,
383.0-F,150,310,
384.0-F,165,330,
390.0-F,240,280,
390.0-T5,260,300,
413.0-F,140,300,
443.0-F,60,150,
514.0-F,85,170,
518.0-F,190,310,
520.0-T4,180,330,
535.0-F,140,275,
712.0-F,170,240,
850.0-T5,75,160,
