Trade name,UNS number,Yield strength,Ultimate strength,,M10603,130,220,
AS41A F,M10410,140,210,
AS41XB F,,140,210,
AZ10A,M11100,145 - 150,240,
AZ31B T1,M11312,150 - 220,241 - 290,
AZ61A F,M11610,165 - 220,285 - 305,
AZ63 T1,M11630,97,200,
AZ80A T4,M11800,230 - 275,330 - 380,
AZ81A T1,M11810,83,275,
AZ91A F,M11910,97 - 150,165 - 230,
AZ91C T6,M11914,90 - 145,275,
AZ92A T6,M11920,150,275,
EQ21 T6,M16330,170,235,
EZ33A T5,M12330,110,160,
HK31A T6,M13310,105,220,
HK31A H24,M13310,205,260,
HM21A T8,M13210,170,235,
HM31A O,M13312,230,283,
HZ32A T5,M13320,90,185,
K1A F,M18010,55,180,
M1A,M15100,125 - 180,230 - 255,
QE22A T6,M18220,195,260,
QH21A T6,,200 - 207,275 - 285,
WE43 T6,M18430,162,250,
WE54 T6,M18410,172,250,
ZC63 T6,M16631,125,210,
ZC71 T6,M16710,340 - 345,360 - 375,
ZE41A T5,M16410,140,205,
ZE63A T6,M16630,190,300,
ZH62A T5,M16620,150,240,
ZK21A,M16210,180 - 195,235 - 260,
ZK40A T5,M16400,250 - 255,275,
ZK51A T5,M16510,140,205,
ZK60A T5,M16600,215 - 285,305 - 350,
ZK61A T6,M16610,195,210,
