Temperature (°C),Conductivity (W/m·K),
-70,0.0196,
-60,0.0204,
-50,0.0212,
-40,0.0219,
-30,0.0227,
-20,0.0235,
-10,0.0242,
0,0.0249,
10,0.0257,
20,0.0264,
30,0.0271,
40,0.0278,
50,0.0285,
60,0.0292,
70,0.0298,
80,0.0305,
90,0.0312,
100,0.0318,
110,0.0325,
120,0.0331,
130,0.0337,
140,0.0344,
150,0.0350,
160,0.0356,
170,0.0363,
180,0.0369,
190,0.0375,
200,0.0381,
210,0.0387,
220,0.0393,
230,0.0399,
240,0.0405,
250,0.0411,
260,0.0417,
270,0.0423,
280,0.0429,
290,0.0435,
300,0.0441,
310,0.0447,
320,0.0453,
330,0.0459,
340,0.0465,
350,0.0471,
360,0.0477,
370,0.0482,
380,0.0488,
390,0.0494,
400,0.0500,
