Name,Thermal conductivity,
"Dimethyl Ether (C2H6O)","0.0178",
"Diethyl Ether (C4H10O)","0.1313",
"Methoxypropane (C4H10O)","0.1321",
"Ethyl Propyl Ether (C5H12O)","0.1278",
"Methyl tert-butyl ether (C5H12O)","0.1288",
"Tetrahydrofuran (C4H8O)","0.144",
"Dioxane (C4H8O2)","0.1547",
"Anisole (C7H8O)","0.145",
"Dipropyl ether (C6H14O)","0.1245",
"Dibutyl ether (C8H18O)","0.1315",
"Dipentyl ether (C10H22O)","0.131",
"Dioctyl ether (C16H34O)","0.1423",
"Methoxyethane (C3H8O)","0.01764",
"Vinyl ether (C4H6O)","0.1339",
"Phenetole (C8H10O)","0.1404",
