Trade name,UNS number,Thermal conductivity,
Alloy 20,N08020,12.3,
Alloy 36,K93600,10,
Alloy 46,K94600,11,
Alloy 52,N14052,17,
Alloy 188,R30188,12.1,
Alloy 200,N02200,70.2,
Alloy 201,N02201,79.3,
Alloy 205,N02205,75,
Alloy 270,N02270,86,
Alloy 400,N04400,22,
Alloy 405,N04405,21.8,
HASTELLOY® B,N10001,11.1,
HASTELLOY® B2,N10665,11.1,
HASTELLOY® B3,N10675,11.2,
HASTELLOY® C4,N06455,10.1,
HASTELLOY® C22,N06022,10.1,
HASTELLOY® C276,N10276,10.2,
HASTELLOY® C2000,N06200,9.1,
HASTELLOY® G3,N06985,14.3,
HASTELLOY® G30,N06030,10.2,
HASTELLOY® HX,N06920,11.6,
HASTELLOY® N,N10003,11.5,
HASTELLOY® S,N06635,14,
HASTELLOY® X,N06002,9.1,
HAYNES® 214,N07214,12,
HAYNES® 230,N06230,8.9,
HAYNES® 242,N10242,11.3,
HAYNES® 263,N07263,11.7,
HAYNES® 282,N07208,10.3,
HAYNES® 556,R30556,11.1,
HAYNES® HR-120,N08120,11.4,
HAYNES® HR-160,N12160,10.9,
INCOLOY® 800,N08800,11.5,
INCOLOY® 800HT,N08811,11.5,
INCOLOY® 825,N08825,11.1,
INCOLOY® 902,N09902,12.1,
INCOLOY® 903,N19903,16.7,
INCOLOY® 907,N19907,14.8,
INCOLOY® 909,N19909,14.8,
INCOLOY® 925,N09925,13.9,
INCONEL® 600,N06600,15.9,
INCONEL® 601,N06601,11.2,
INCONEL® 601GC,N06601,11,
INCONEL® 603XL,N06603,11,
INCONEL® 617,N06617,13.6,
INCONEL® 625,N06625,9.8,
INCONEL® 625LCF,N06626,9.7,
INCONEL® 686,N06686,9.8,
INCONEL® 690,N06690,13.5,
INCONEL® 693,N06693,9.1,
INCONEL® 718,N07718,11.4,
INCONEL® 718SPF,NO7718,11.1,
INCONEL® 725,N07725,10.6,
INCONEL® 740,N07740,10.2,
INCONEL® 751,N07751,12,
INCONEL® 783,R30783,10.1,
INCONEL® MA754,N07754,14.3,
INCONEL® MA758,,14.3,
INCONEL® X-750,N07750,12,
Invar® 36,K93601,10,
Invar® 42,K94100,10.5,
Invar® 48,K94800,16.7,
Invar® K,K94610,16.7,
MONEL® 400,N04400,24,
MONEL® 401,N04401,21,
MONEL® 404,N04404,21,
MONEL® K-500,N05500,17.2,
MONEL® R-405,N04405,22,
NIMONIC® 75,N06075,11.7,
NIMONIC® 80A,N07080,11.2,
NIMONIC® 81,N07081,10.9,
NIMONIC® 90,N07090,11.47,
NIMONIC® 105,N07105,10.89,
NIMONIC® 115,N07115,10.6,
NIMONIC® 263,N07263,11.72,
NIMONIC® PE16,,11.72,
NIMONIC® PK33,,11.3,
NiSPAN-C® 902,N09902,12.1,
René® 41,N07041,11.9,
René® 95,,8.7,
Udimet® 500,N07500,11.1,
Udimet® 700,N07700,19.6,
