Metal,Thermal conductivity,
Aluminum (Al),237,
Antimony (Sb),24.3,
Barium (Ba),18.4,
Beryllium (Be),200,
Bismuth (Bi),7.87,
Cadmium (Cd),96.8,
Calcium (Ca),200,
Cerium (Ce),11.3,
Cesium (Cs),35.9,
Chromium (Cr),93.7,
Cobalt (Co),100,
Copper (Cu),401,
Dysprosium (Dy),10.7,
Erbium (Er),14.5,
Europium (Eu),13.9,
Gadolinium (Gd),10.5,
Gallium (Ga),40.6,
Gold (Au),317,
Hafnium (Hf),23,
Holmium (Ho),16.2,
Indium (In),81.6,
Iridium (Ir),147,
Iron (Fe),80.2,
Lanthanum (La),13.4,
Lead (Pb),35.3,
Lithium (Li),84.7,
Lutetium (Lu),16.4,
Magnesium (Mg),156,
Manganese (Mn),7.82,
Mercury (Hg),8.51,
Molybdenum (Mo),138,
Neodymium (Nd),16.5,
Neptunium (Np),6.3,
Nickel (Ni),90.7,
Niobium (Nb),53.7,
Osmium (Os),87.6,
Palladium (Pd),71.8,
Platinum (Pt),71.6,
Plutonium (Pu),6.74,
Polonium (Po),20,
Potassium (K),102.4,
Praseodymium (Pr),12.5,
Promethium (Pm),15,
Rhenium (Re),47.9,
Rhodium (Rh),150,
Rubidium (Rb),58.2,
Ruthenium (Ru),117,
Samarium (Sm),13.3,
Scandium (Sc),15.8,
Silver (Ag),429,
Sodium (Na),141,
Strontium (Sr),35.3,
Tantalum (Ta),57.5,
Technetium (Tc),50.6,
Terbium (Tb),11.1,
Thallium (Tl),46.1,
Thorium (Th),54,
Thulium (Tm),16.9,
Tin (Sn),66.6,
Titanium (Ti),21.9,
Tungsten (W),174,
Uranium (U),27.6,
Vanadium (V),30.7,
Ytterbium (Yb),38.5,
Yttrium (Y),17.2,
Zinc (Zn),116,
Zirconium (Zr),22.7,
