Metal,Thermal expansion,
Aluminum (Al),23.1,
Antimony (Sb),11,
Barium (Ba),20.6,
Beryllium (Be),11.3,
Bismuth (Bi),13.4,
Cadmium (Cd),30.8,
Calcium (Ca),22.3,
Cerium (Ce),6.3,
Cesium (Cs),97,
Chromium (Cr),4.9,
Cobalt (Co),13,
Copper (Cu),16.5,
Dysprosium (Dy),9.9,
Erbium (Er),12.2,
Europium (Eu),35,
Gadolinium (Gd),9.4,
Gallium (Ga),18,
Gold (Au),14.2,
Hafnium (Hf),5.9,
Holmium (Ho),11.2,
Indium (In),32.1,
Iridium (Ir),6.4,
Iron (Fe),11.8,
Lanthanum (La),12.1,
Lead (Pb),28.9,
Lithium (Li),46,
Lutetium (Lu),9.9,
Magnesium (Mg),24.8,
Manganese (Mn),21.7,
Mercury (Hg),60.4,
Molybdenum (Mo),4.8,
Neodymium (Nd),9.6,
Nickel (Ni),13.4,
Niobium (Nb),7.3,
Osmium (Os),5.1,
Palladium (Pd),11.8,
Platinum (Pt),8.8,
Plutonium (Pu),46.7,
Polonium (Po),23.5,
Potassium (K),83.3,
Praseodymium (Pr),6.7,
Promethium (Pm),11,
Rhenium (Re),6.2,
Rhodium (Rh),8.2,
Ruthenium (Ru),6.4,
Samarium (Sm),12.7,
Scandium (Sc),10.2,
Silver (Ag),18.9,
Sodium (Na),71,
Strontium (Sr),22.5,
Tantalum (Ta),6.3,
Terbium (Tb),10.3,
Thallium (Tl),29.9,
Thorium (Th),11,
Thulium (Tm),13.3,
Tin (Sn),22,
Titanium (Ti),8.6,
Tungsten (W),4.5,
Uranium (U),13.9,
Vanadium (V),8.4,
Ytterbium (Yb),26.3,
Yttrium (Y),10.6,
Zinc (Zn),30.2,
Zirconium (Zr),5.7,
