Name,Temperature,Vapor pressure,
"Methane (CH4)","25","6.21×104",
"Ethane (C2H6)","20","3850",
"Propane (C3H8)","20","840",
"Butane (C4H10)","25","243",
"Pentane (C5H12)","20","56.6",
"Hexane (C6H14)","20","16.2",
"Heptane (C7H16)","20","4.7",
"Octane (C8H18)","20","1.4",
"Nonane (C9H20)","25","0.59",
"Decane (C10H22)","25","0.17",
"Undecane (C11H24)","25","0.055",
"Dodecane (C12H26)","25","0.018",
"Tridecane (C13H28)","25","0.007",
"Tetradecane (C14H30)","25","0.002",
"Pentadecane (C15H32)","25","3.56×10-4",
"Hexadecane (C16H34)","25","1.99×10-4",
"Heptadecane (C17H36)","25","3.04×10-5",
"Octadecane (C18H38)","25","4.55×10-5",
"Nonadecane (C19H40)","25","6.53×10-6",
"Eicosane (C20H42)","25","6.16×10-7",
"Heneicosane (C21H44)","25","1.16×10-5",
"Docosane (C22H46)","25","1.71×10-7",
"Tricosane (C23H48)","25","2.32×10-6",
"Tetracosane (C24H50)","25","5.43×10-7",
"Pentacosane (C25H52)","25","2.01×10-7",
"Hexacosane (C26H54)","125","0.001",
"Heptacosane (C27H56)","25","3.73×10-10",
"Nonacosane (C29H60)","148","0.001",
"Triacontane (C30H62)","25","3.64×10-12",
"Hentriacontane (C31H64)","25","1.87×10-12",
"Tritriacontane (C33H68)","25","5.36×10-12",
