Name,Temperature,Vapor pressure,
Methyl acetate (C3H6O2),20,23.1,
Ethyl acetate (C4H8O2),20,9.7,
Butyl acetate (C6H12O2),20,1.3,
Isopropyl acetate (C5H10O2),20,5.6,
Propyl acetate (C5H10O2),20,3.3,
Ethyl butyrate (C6H12O2),20,1.87,
Methyl propionate (C4H8O2),20,8.5,
Ethyl propionate (C5H10O2),25,4.77,
Isobutyl acetate (C6H12O2),20,1.73,
Ethyl formate (C3H6O2),20,25.6,
Butyl formate (C5H10O2),20,2.9,
Methyl butyrate (C5H10O2),25,4.3,
Methyl valerate (C6H12O2),51,8.4,
Methyl hexanoate (C7H14O2),30,0.67,
Ethyl octanoate (C10H20O2),20,0.02,
Methyl decanoate (C11H22O2),25,4.9×10-3,
Methyl dodecanoate (C13H26O2),25,5.48×10-4,
Methyl benzoate (C8H8O2),25,0.051,
Butyl benzoate (C11H14O2),25,1.0×10-3,
