Temperature °C,Vapor pressure (kPa),
0,2.7 ×10-5,
5,4.39 ×10-5,
10,7.02 ×10-5,
15,1.11 ×10-4,
20,1.71 ×10-4,
25,2.61 ×10-4,
30,3.93 ×10-4,
35,5.84 ×10-4,
40,8.55 ×10-4,
45,1.24 ×10-3,
50,1.77 ×10-3,
55,2.51 ×10-3,
60,3.51 ×10-3,
65,4.86 ×10-3,
70,6.67 ×10-3,
75,9.08 ×10-3,
80,0.012,
85,0.016,
90,0.022,
95,0.029,
100,0.037,
110,0.062,
120,0.1,
130,0.16,
140,0.25,
150,0.38,
160,0.56,
170,0.82,
180,1.17,
190,1.66,
200,2.31,
210,3.17,
220,4.29,
230,5.74,
240,7.59,
250,9.93,
260,12.86,
270,16.49,
280,20.96,
290,26.39,
300,32.97,
310,40.86,
320,50.26,
330,61.4,
340,74.5,
350,89.82,
360,107.65,
370,128.26,
380,151.99,
390,179.17,
400,210.15,
410,245.32,
420,285.07,
430,329.82,
440,380,
450,436.07,
460,498.51,
470,567.81,
480,644.46,
490,729.01,
500,821.99,
510,923.96,
520,1035.5,
530,1157.2,
540,1289.6,
550,1433.3,
560,1589.1,
570,1757.4,
580,1939,
590,2135,
600,2345,
610,2570,
620,2811,
630,3069,
640,3344,
650,3637,
660,3949,
670,4281,
680,4632,
690,5005,
700,5399,
710,5815,
720,6254,
730,6718,
740,7205,
750,7718,
760,8258,
770,8824,
780,9417,
790,10040,
800,10690,
